MouseID,5_min,10_min,15_min,30_min,45_min,60_min,Sex,SLC_Genotype,ASO_Tg,Cohort
663,3,3,5,6,6,7,Female,MUT,Positive,Two
662,3,6,7,12,15,19,Female,MUT,Positive,Two
661,3,7,8,13,14,19,Female,MUT,Negative,Two
611,2,2,4,6,6,7,Female,MUT,Negative,Two
612,0,0,3,5,7,7,Female,MUT,Positive,Two
610,0,0,1,3,4,5,Female,MUT,Positive,Two
844,2,4,6,10,13,14,Female,WT,Negative,Two
876,1,1,1,3,5,6,Female,WT,Negative,Two
664,1,3,5,7,9,9,Female,WT,Positive,Two
669,5,8,9,13,15,19,Female,HET,Negative,Two
670_842,0,3,7,8,11,12,Female,HET,Positive,Two
839,0,3,4,8,11,13,Female,HET,Negative,Two
673,0,2,6,8,13,16,Male,WT,Negative,Two
672,2,3,4,6,11,11,Male,HET,Negative,Two
666,2,4,4,7,9,11,Male,WT,Positive,Two
665,6,8,9,10,12,12,Male,WT,Negative,Two
856,4,5,7,11,13,15,Male,HET,Positive,Two
609,5,5,7,9,11,14,Male,HET,Negative,Two
853,0,0,5,7,9,10,Male,MUT,Positive,Two
667,0,3,4,6,7,9,Male,MUT,Negative,Two
605,3,6,7,12,13,15,Female,HET,Negative,Two
607,5,8,10,14,20,21,Female,HET,Negative,Two
606,4,8,10,14,16,18,Female,HET,Positive,Two
668,1,1,1,1,1,1,Female,WT,Positive,Two
536,7,8,8,10,12,12,Male,HET,Positive,One
340,5,7,9,10,10,12,Male,HET,Positive,One
341,0,6,7,10,13,15,Male,HET,Negative,One
582,2,4,6,7,9,10,Male,HET,Positive,One
661,0,0,0,0,0,0,Male,MUT,Positive,One
669,0,0,0,1,1,2,Female,HET,Negative,One
326,0,4,4,4,5,5,Female,HET,Positive,One
320,2,4,4,6,6,6,Female,HET,Negative,One
327,6,8,10,13,13,13,Female,HET,Negative,One
328,6,7,8,10,16,18,Female,HET,Negative,One
336,0,4,7,8,8,8,Female,MUT,Positive,One
665,0,0,4,5,6,7,Female,MUT,Positive,One
667,0,4,6,7,9,12,Female,MUT,Positive,One
337,4,8,8,8,8,8,Male,HET,Positive,One
339,7,7,9,12,14,14,Male,HET,Negative,One
338,8,10,10,11,11,11,Male,HET,Negative,One
539,3,6,6,6,6,6,Female,HET,Negative,One
544,5,5,10,11,12,15,Female,HET,Positive,One
577,0,0,0,1,2,5,Female,HET,Positive,One
663,0,2,3,4,5,8,Male,WT,Positive,One
333,3,4,4,5,5,6,Male,HET,Negative,One
335,3,4,5,6,6,8,Male,HET,Negative,One
334,2,5,5,6,6,6,Male,HET,Positive,One
545,4,6,6,7,7,7,Male,HET,Negative,One
537,2,2,4,6,6,6,Male,WT,Negative,One
542,6,7,7,10,12,14,Female,MUT,Positive,One
332,1,1,1,3,4,4,Female,MUT,Negative,One
670,3,4,4,4,4,4,Female,WT,Negative,One
540,2,3,3,4,4,5,Female,WT,Positive,One
329,5,5,5,7,7,8,Male,HET,Negative,One
330,6,6,6,7,7,7,Male,HET,Negative,One
331,3,6,6,8,8,8,Male,HET,Positive,One
791,0,2,3,4,4,4,Male,WT,Positive,One
351,0,0,0,0,0,0,Female,HET,Positive,One
718,7,9,9,11,13,14,Female,HET,Negative,One
719,4,5,8,10,10,10,Female,HET,Positive,One
41,5,7,8,11,11,13,Male,WT,Positive,Three
40,6,6,7,8,10,11,Male,WT,Negative,Three
45,5,6,6,7,10,10,Female,MUT,Negative,Three
889,0,0,0,0,1,1,Female,MUT,Negative,Three
964,0,4,4,8,9,10,Male,MUT,Negative,Three
36,2,2,4,6,7,10,Male,HET,Negative,Three
37,0,1,2,3,4,8,Male,HET,Negative,Three
39,0,0,1,1,1,1,Male,HET,Negative,Three
894,0,1,3,3,6,6,Male,HET,Negative,Three
44,0,0,0,3,3,5,Male,HET,Positive,Three
35,0,0,1,4,6,8,Female,WT,Positive,Three
962,5,6,6,9,11,11,Female,WT,Positive,Three
963,0,0,2,2,3,3,Male,HET,Negative,Three
43,0,1,1,2,2,3,Male,MUT,Positive,Three
42,2,4,5,6,6,6,Male,MUT,Negative,Three
892,1,2,2,4,5,5,Male,WT,Negative,Three
