MouseID,min.sec.csec,Trial,Trial start time,Notes,Cohort,Sincerity_Score,Sincerity_Score_Relaxed,SLC_Genotype,ASO_Tg,Sex,min,sec,csec,Time,Weight
889,02.30.00,One,,,Three,Sincere,Sincere,MUT,Negative,Female,2,30,0,150,20.4
962,00.28.01,One,,,Three,Sincere,Sincere,WT,Positive,Female,0,28,1,28.01,22.7
668,0.29.88,One,11:41,:),Two,Sincere,Sincere,WT,Positive,Female,0,29,88,29.88,23.5
661_837,2.30.00,One,11:19,:),Two,Sincere,Sincere,MUT,Negative,Female,2,30,0,150,25.1
663_835,1.29.85,One,11:23,:),Two,Sincere,Sincere,MUT,Positive,Female,1,29,85,89.85,25.5
662,1.59.22,One,11:25,:),Two,Sincere,Sincere,MUT,Positive,Female,1,59,22,119.22,25.5
606,0.18.22,One,11:43,:/,Two,Unsure,Sincere,HET,Positive,Female,0,18,22,18.22,26
611,0.20.50,One,11:19,:),Two,Sincere,Sincere,MUT,Negative,Female,0,20,50,20.5,26.6
612,0.32.89,One,11:15,:),Two,Sincere,Sincere,MUT,Positive,Female,0,32,89,32.89,26.8
45,02.06.97,One,,,Three,Sincere,Sincere,MUT,Negative,Female,2,6,97,126.97,27.1
605,2.30.00,One,11:43,:),Two,Sincere,Sincere,HET,Negative,Female,2,30,0,150,27.5
35,01.42.59,One,,,Three,Sincere,Sincere,WT,Positive,Female,1,42,59,102.59,28.1
672,0.55.09,One,11:36,:(,Two,Insincere,Insincere,HET,Negative,Male,0,55,9,55.09,28.3
839,2.30.00,One,11:57,:),Two,Sincere,Sincere,HET,Negative,Female,2,30,0,150,28.5
36,00.06.83,One,2:53,,Three,Sincere,Sincere,HET,Negative,Male,0,6,83,6.83,29
844,0.16.65,One,11:30,:),Two,Sincere,Sincere,WT,Negative,Female,0,16,65,16.65,29
670_842,1.40.65,One,11:51,:),Two,Sincere,Sincere,HET,Positive,Female,1,40,65,100.65,29.5
607,NA,One,11:46,:( exclude,Two,Insincere,Insincere,HET,Negative,Female,NA,NA,NA,NA,29.6
673,2.30.00,One,11:41,:),Two,Sincere,Sincere,WT,Negative,Male,2,30,0,150,30.2
894,01.26.24,One,2:42,,Three,Sincere,Sincere,HET,Negative,Male,1,26,24,86.24,30.3
664,0.49.02,One,11:33,:),Two,Sincere,Sincere,WT,Positive,Female,0,49,2,49.02,31.3
37,00.05.95,One,2:55,,Three,Sincere,Sincere,HET,Negative,Male,0,5,95,5.95,31.9
669_843,0.32.27,One,11:51,:),Two,Sincere,Sincere,HET,Negative,Female,0,32,27,32.27,33
665_857,1.43.81,One,11:30,:),Two,Sincere,Sincere,WT,Negative,Male,1,43,81,103.81,33.5
665_857,2.00.07,Two,12:16,:),Two,Sincere,Sincere,WT,Negative,Male,2,0,7,120.07,33.5
609,0.28.36,One,11:36,:),Two,Sincere,Sincere,HET,Negative,Male,0,28,36,28.36,34.4
42,00.38.79,One,3:02,,Three,Sincere,Sincere,MUT,Negative,Male,0,38,79,38.79,34.9
666,0.17.48,Two,12:16,:),Two,Sincere,Sincere,WT,Positive,Male,0,17,48,17.48,35.1
666,1.28.51,One,11:26,:),Two,Sincere,Sincere,WT,Positive,Male,1,28,51,88.51,35.1
44,00.05.41,One,2:42,,Three,Sincere,Sincere,HET,Positive,Male,0,5,41,5.41,35.5
610,1.50.35,One,11:15,:),Two,Sincere,Sincere,MUT,Positive,Female,1,50,35,110.35,35.7
853,0.06.48,One,11:57,:),Two,Sincere,Sincere,MUT,Positive,Male,0,6,48,6.48,36.1
667_845,0.52.34,One,11:49,:),Two,Sincere,Sincere,MUT,Negative,Male,0,52,34,52.34,37.3
892,00.42.87,One,,,Three,Sincere,Sincere,WT,Negative,Male,0,42,87,42.87,37.8
39,02.03.29,One,2:55,,Three,Sincere,Sincere,HET,Negative,Male,2,3,29,123.29,39.1
41,00.11.29,One,2:46,,Three,Sincere,Sincere,WT,Positive,Male,0,11,29,11.29,42.2
963,00.02.81,One,,,Three,Sincere,Sincere,HET,Negative,Male,0,2,81,2.81,43.1
43,00.02.00,One,3:00,,Three,Sincere,Sincere,MUT,Positive,Male,0,2,0,2,45.4
40,00.11.29,One,2:46,:(,Three,Insincere,Insincere,WT,Negative,Male,0,11,29,11.29,47.4
964,00.07.36,One,2:53,,Three,Sincere,Sincere,MUT,Negative,Male,0,7,36,7.36,50.7
856,0.11.60,One,11:33,:),Two,Sincere,Sincere,HET,Positive,Male,0,11,60,11.6,52.2
44,00.00.72,Two,,,Three,Sincere,Sincere,HET,Positive,Male,0,0,72,0.72,35.5
537,1.1,Two,,:(,One,Insincere,Insincere,WT,Negative,Male,0,1,1,1.01,45.5
43,00.01.18,Two,,,Three,Sincere,Sincere,MUT,Positive,Male,0,1,18,1.18,45.4
335,1.24,Two,,:),One,Sincere,Sincere,HET,Negative,Male,0,1,24,1.24,51.1
719,1.41,One,2:05,":(, wanted to fall",One,Insincere,Insincere,HET,Positive,Female,0,1,41,1.41,38.4
964,00.01.52,Two,,,Three,Sincere,Sincere,MUT,Negative,Male,0,1,52,1.52,50.7
661,3.37,One,2:29,:),One,Sincere,Sincere,MUT,Positive,Male,0,3,37,3.37,46.1
36,00.03.60,Two,,,Three,Sincere,Sincere,HET,Negative,Male,0,3,60,3.6,29
544,3.61,One,,:),One,Sincere,Sincere,HET,Positive,Female,0,3,61,3.61,46.8
661,4.5,Two,,:),One,Sincere,Sincere,MUT,Positive,Male,0,4,5,4.05,46.1
544,4.08,Two,,:( cheater,One,Insincere,Insincere,HET,Positive,Female,0,4,8,4.08,46.8
663,4.53,Two,,:(,One,Insincere,Insincere,WT,Positive,Male,0,4,53,4.53,43.2
545,4.65,One,2:45,:),One,Sincere,Sincere,HET,Negative,Male,0,4,65,4.65,49.4
856,0.05.95,Two,12:24,:),Two,Sincere,Sincere,HET,Positive,Male,0,5,95,5.95,52.2
545,5.97,Two,,:),One,Sincere,Sincere,HET,Negative,Male,0,5,97,5.97,49.4
339,6.14,One,2:29,:),One,Sincere,Sincere,HET,Negative,Male,0,6,14,6.14,37
340,6.23,One,2:36,:),One,Sincere,Sincere,HET,Positive,Male,0,6,23,6.23,45.4
963,00.06.49,Two,,,Three,Sincere,Sincere,HET,Negative,Male,0,6,49,6.49,43.1
333,7,One,2:45,:),One,Sincere,Sincere,HET,Negative,Male,0,7,,7,48.2
338,7.9,One,,":(, exclude",One,Insincere,Insincere,HET,Negative,Male,0,7,9,7.09,38.2
540,10.1,One,,:),One,Sincere,Sincere,WT,Positive,Female,0,10,1,10.01,36.7
962,00.10.54,Two,,,Three,Sincere,Sincere,WT,Positive,Female,0,10,54,10.54,22.7
669,11.4,One,2:31,:/,One,Unsure,Sincere,HET,Negative,Female,0,11,4,11.04,38.9
611,0.11.38,Two,12:04,:),Two,Sincere,Sincere,MUT,Negative,Female,0,11,38,11.38,26.6
670,11.48,Two,,:),One,Sincere,Sincere,WT,Negative,Female,0,11,48,11.48,37.3
537,11.63,One,2:18,:(,One,Insincere,Insincere,WT,Negative,Male,0,11,63,11.63,45.5
40,00.11.83,Two,,,Three,Sincere,Sincere,WT,Negative,Male,0,11,83,11.83,47.4
339,13.58,Two,,:(,One,Insincere,Insincere,HET,Negative,Male,0,13,58,13.58,37
669,14.48,Two,,:),One,Sincere,Sincere,HET,Negative,Female,0,14,48,14.48,38.9
39,00.14.71,Two,,,Three,Sincere,Sincere,HET,Negative,Male,0,14,71,14.71,39.1
335,15.18,One,2:42,:),One,Sincere,Sincere,HET,Negative,Male,0,15,18,15.18,51.1
670_842,0.16.20,Two,12:46,:(,Two,Insincere,Insincere,HET,Positive,Female,0,16,20,16.2,29.5
791,21.82,Two,,:),One,Sincere,Sincere,WT,Positive,Male,0,21,82,21.82,35.8
341,22.13,One,2:39,:/,One,Unsure,Sincere,HET,Negative,Male,0,22,13,22.13,40
351,23.5,One,,:),One,Sincere,Sincere,HET,Positive,Female,0,23,5,23.05,27.4
577,23.45,Two,,:(,One,Insincere,Insincere,HET,Positive,Female,0,23,45,23.45,28.5
327,23.66,One,2:34,:(. fell while climbing,One,Unsure,Sincere,HET,Negative,Female,0,23,66,23.66,25.8
539,24.42,Two,,:),One,Sincere,Sincere,HET,Negative,Female,0,24,42,24.42,35.4
718,24.45,Two,,:),One,Sincere,Sincere,HET,Negative,Female,0,24,45,24.45,37.7
334,24.91,One,,:),One,Sincere,Sincere,HET,Positive,Male,0,24,91,24.91,37.7
582,25.28,Two,,:),One,Sincere,Sincere,HET,Positive,Male,0,25,28,25.28,47.4
329,26.49,Two,,:),One,Sincere,Sincere,HET,Negative,Male,0,26,49,26.49,37.6
539,26.76,One,,:),One,Sincere,Sincere,HET,Negative,Female,0,26,76,26.76,35.4
892,00.27.08,Two,,,Three,Sincere,Sincere,WT,Negative,Male,0,27,8,27.08,37.8
663,27.61,One,2:08,:),One,Sincere,Sincere,WT,Positive,Male,0,27,61,27.61,43.2
667,27.83,One,2:18,:(,One,Insincere,Insincere,MUT,Positive,Female,0,27,83,27.83,25.3
670,27.87,One,,:(,One,Insincere,Insincere,WT,Negative,Female,0,27,87,27.87,37.3
326,29.45,Two,,fell after dangling from hindlinbs,One,Sincere,Sincere,HET,Positive,Female,0,29,45,29.45,24.9
341,30.1,Two,,:),One,Sincere,Sincere,HET,Negative,Male,0,30,1,30.01,40
336,30.45,One,2:15,✓,One,Sincere,Sincere,MUT,Positive,Female,0,30,45,30.45,32.1
582,31.93,One,2:39,:),One,Sincere,Sincere,HET,Positive,Male,0,31,93,31.93,47.4
791,32.5,One,2:25,:),One,Sincere,Sincere,WT,Positive,Male,0,32,5,32.05,35.8
37,00.32.30,Two,,,Three,Sincere,Sincere,HET,Negative,Male,0,32,30,32.3,31.9
330,32.32,One,2:21,:),One,Sincere,Sincere,HET,Negative,Male,0,32,32,32.32,36.4
665,33.43,One,2:15,✓,One,Sincere,Sincere,MUT,Positive,Female,0,33,43,33.43,40.8
329,33.86,One,,:),One,Sincere,Sincere,HET,Negative,Male,0,33,86,33.86,37.6
337,33.86,One,2:27,,One,Sincere,Sincere,HET,Positive,Male,0,33,86,33.86,38.5
35,00.33.87,Two,,,Three,Sincere,Sincere,WT,Positive,Female,0,33,87,33.87,28.1
41,00.37.07,Two,,,Three,Sincere,Sincere,WT,Positive,Male,0,37,7,37.07,42.2
326,37.39,One,2:34,:),One,Sincere,Sincere,HET,Positive,Female,0,37,39,37.39,24.9
540,38.82,Two,,:/,One,Unsure,Sincere,WT,Positive,Female,0,38,82,38.82,36.7
332_666,40.18,Two,,:(,One,Insincere,Insincere,MUT,Negative,Female,0,40,18,40.18,31.3
718,41.014,One,2:08,:),One,Sincere,Sincere,HET,Negative,Female,0,41,14,41.14,37.7
669_843,0.42.05,Two,12:46,:),Two,Sincere,Sincere,HET,Negative,Female,0,42,5,42.05,33
853,0.44.03,Two,12:40,:(,Two,Insincere,Insincere,MUT,Positive,Male,0,44,3,44.03,36.1
844,0.44.96,Two,12:20,:),Two,Sincere,Sincere,WT,Negative,Female,0,44,96,44.96,29
667,46.95,Two,,:),One,Sincere,Sincere,MUT,Positive,Female,0,46,95,46.95,25.3
665,47.95,Two,,:),One,Sincere,Sincere,MUT,Positive,Female,0,47,95,47.95,40.8
332_666,52.55,One,2:12,fell b/c climbed on hand,One,Unsure,Sincere,MUT,Negative,Female,0,52,55,52.55,31.3
667_845,0.53.73,Two,12:40,:),Two,Sincere,Sincere,MUT,Negative,Male,0,53,73,53.73,37.3
668,0.55.90,Two,12:30,:),Two,Sincere,Sincere,WT,Positive,Female,0,55,90,55.9,23.5
337,57.12,Two,,:),One,Sincere,Sincere,HET,Positive,Male,0,57,12,57.12,38.5
42,00.58.44,Two,,,Three,Sincere,Sincere,MUT,Negative,Male,0,58,44,58.44,34.9
330,1.08.92,Two,,:),One,Sincere,Sincere,HET,Negative,Male,1,8,92,68.92,36.4
331,1.10.72,Two,,:),One,Sincere,Sincere,HET,Positive,Male,1,10,72,70.72,33.2
337,1.15.83,Two,13:22,:),One,Sincere,Sincere,HET,Positive,Male,1,15,83,75.83,38.5
336,1.18.45,Two,,:),One,Sincere,Sincere,MUT,Positive,Female,1,18,45,78.45,32.1
351,1.23.88,Two,2:05,:),One,Sincere,Sincere,HET,Positive,Female,1,23,88,83.88,27.4
606,1.24.18,Two,12:37,:/,Two,Unsure,Sincere,HET,Positive,Female,1,24,18,84.18,26
45,01.34.43,Two,,,Three,Sincere,Sincere,MUT,Negative,Female,1,34,43,94.43,27.1
331,1.36.24,One,2:25,:),One,Sincere,Sincere,HET,Positive,Male,1,36,24,96.24,33.2
663_835,1.55.65,Two,12:12,:),Two,Sincere,Sincere,MUT,Positive,Female,1,55,65,115.65,25.5
577,2.02.11,One,,:(,One,Insincere,Insincere,HET,Positive,Female,2,2,11,122.11,28.5
320,2.30.00,One,2:36,:),One,Sincere,Sincere,HET,Negative,Female,2,30,0,150,30.3
328,2.30.00,One,2:31,:),One,Sincere,Sincere,HET,Negative,Female,2,30,0,150,24.6
542,2.30.00,One,2:12,✓,One,Sincere,Sincere,MUT,Positive,Female,2,30,0,150,29.8
327,2.30.00,Two,,:),One,Sincere,Sincere,HET,Negative,Female,2,30,0,150,25.8
609,2.30.00,Two,12:24,:),Two,Sincere,Sincere,HET,Negative,Male,2,30,0,150,34.4
612,2.30.00,Two,12:04,:),Two,Sincere,Sincere,MUT,Positive,Female,2,30,0,150,26.8
662,2.30.00,Two,12:12,:),Two,Sincere,Sincere,MUT,Positive,Female,2,30,0,150,25.5
664,2.30.00,Two,12:20,:),Two,Sincere,Sincere,WT,Positive,Female,2,30,0,150,31.3
672,2.30.00,Two,12:30,:),Two,Sincere,Sincere,HET,Negative,Male,2,30,0,150,28.3
894,02.30.53,Two,,,Three,Sincere,Sincere,HET,Negative,Male,2,30,53,150.53,30.3
536,0.10.48,One,2:42,:),One,Sincere,Sincere,HET,Positive,Male,0,10,48,10.48,41.4
333,NA,Two,,:(,One,Insincere,Insincere,HET,Negative,Male,NA,NA,NA,NA,48.2
334,NA,Two,,:(,One,Insincere,Insincere,HET,Positive,Male,NA,NA,NA,NA,37.7
338,NA,Two,,exclude :( :(,One,Insincere,Insincere,HET,Negative,Male,NA,NA,NA,NA,38.2
340,NA,Two,,:(,One,Insincere,Insincere,HET,Positive,Male,NA,NA,NA,NA,45.4
536,NA,Two,,:(,One,Insincere,Insincere,HET,Positive,Male,NA,NA,NA,NA,41.4
607,NA,Two,12:36,exclude,Two,Insincere,Insincere,HET,Negative,Female,NA,NA,NA,NA,29.6
610,NA,Two,12:03,:( exclude,Two,Insincere,Insincere,MUT,Positive,Female,NA,NA,NA,NA,35.7
