MouseID,Apparatus,Distance,Center-Entries,Center_Time,Periphery_Time,Cohort,SLC_Genotype,Sex
909,909,9.923,62,548.5,51.5,3,HET,Male
908,908,10.163,111,392.9,207.1,3,HET,Male
907,907,8.806,55,406.5,193.5,3,WT,Male
951,951,10.371,80,248.6,351.4,3,WT,Male
906,906,12.938,96,271.4,328.6,3,MUT,Female
972,972,18.686,88,229,371,3,WT,Female
905,905,19.251,104,260.9,339.1,3,MUT,Female
904,904,17.402,104,260.9,339.1,3,WT,Female
973,973,25.384,117,192.2,407.8,3,MUT,Female
953,953,13.787,100,345.7,254.3,3,MUT,Male
974,974,21.377,124,227.3,372.7,3,MUT,Female
952,952,11.837,73,200.7,399.3,3,MUT,Male
954,954,12.321,57,120.9,479.1,3,HET,Female
969,969,6.889,46,340.2,259.8,3,MUT,Male
975,975,13.514,72,157.7,442.3,3,HET,Female
902,902,17.121,94,159.7,440.3,3,WT,Male
901,901,10.216,50,97.9,502.1,3,MUT,Male
885,885,18.689,102,344.9,255.1,3,MUT,Female
903,903,14.979,94,311.3,288.7,3,HET,Male
755,755,18.043,60,151.5,448.5,1,HET,Male
778,778,21.295,100,242.9,357.1,1,HET,Male
780,780,16.35,97,298.3,301.7,1,HET,Male
779,779,12.139,70,235.1,364.9,1,HET,Male
777,777,19.299,82,202.3,397.7,1,WT,Male
756,756,12.984,73,210.4,389.6,1,WT,Male
809,809,10.738,68,296.5,303.5,1,WT,Male
754,754,20.959,92,239,361,1,WT,Male
805,805,8.495,42,94.3,505.7,1,MUT,Female
810,810,16.754,108,201.3,398.7,1,HET,Male
808,808,18.202,107,246.8,353.2,1,WT,Female
879,879,6.186,29,138.7,461.3,2,WT,Male
880,880,15.852,108,314.7,285.3,2,WT,Male
795,795,25.937,119,227.3,372.7,2,WT,Female
812,812,16.332,83,361,239,2,WT,Female
877,877,17.038,103,292,308,2,WT,Female
798,798,18.396,85,260.2,339.8,2,HET,Female
799,799,13.341,58,232.5,367.5,2,HET,Female
797,797,24.724,108,254.4,345.6,2,HET,Female
827,827,16.071,74,328,272,2,HET,Female
851,851,20.302,98,263.6,336.4,2,HET,Male
878,878,18.454,105,251.4,348.6,2,MUT,Female
869,869,15.542,95,298.2,301.8,2,HET,Female
803,803,12.464,77,359.8,240.2,2,WT,Male
