OTU.ID	description	Julianne-331-CEC_S246_L001_R1_001_F_filt-fastq-gz	Julianne-331-JEJ_S219_L001_R1_001_F_filt-fastq-gz	Julianne-337-CEC_S242_L001_R1_001_F_filt-fastq-gz	Julianne-337-COL_S269_L001_R1_001_F_filt-fastq-gz	Julianne-351-CEC_S244_L001_R1_001_F_filt-fastq-gz	Julianne-351-COL_S271_L001_R1_001_F_filt-fastq-gz	Julianne-536-COL_S265_L001_R1_001_F_filt-fastq-gz	Julianne-536-JEJ_S211_L001_R1_001_F_filt-fastq-gz	Julianne-540-COL_S267_L001_R1_001_F_filt-fastq-gz	Julianne-542-CEC_S232_L001_R1_001_F_filt-fastq-gz	Julianne-542-COL_S259_L001_R1_001_F_filt-fastq-gz	Julianne-542-JEJ_S205_L001_R1_001_F_filt-fastq-gz	Julianne-544-COL_S255_L001_R1_001_F_filt-fastq-gz	Julianne-547-CEC_S233_L001_R1_001_F_filt-fastq-gz	Julianne-547-COL_S260_L001_R1_001_F_filt-fastq-gz	Julianne-547-JEJ_S206_L001_R1_001_F_filt-fastq-gz	Julianne-579-CEC_S234_L001_R1_001_F_filt-fastq-gz	Julianne-579-JEJ_S207_L001_R1_001_F_filt-fastq-gz	Julianne-582-CEC_S243_L001_R1_001_F_filt-fastq-gz	Julianne-582-COL_S270_L001_R1_001_F_filt-fastq-gz	Julianne-604-CEC_S235_L001_R1_001_F_filt-fastq-gz	Julianne-604-JEJ_S208_L001_R1_001_F_filt-fastq-gz	Julianne-661-COL_S266_L001_R1_001_F_filt-fastq-gz	Julianne-661-JEJ_S212_L001_R1_001_F_filt-fastq-gz	Julianne-663-CEC_S241_L001_R1_001_F_filt-fastq-gz	Julianne-663-COL_S268_L001_R1_001_F_filt-fastq-gz	Julianne-665-JEJ_S210_L001_R1_001_F_filt-fastq-gz	Julianne-667-CEC_S236_L001_R1_001_F_filt-fastq-gz	Julianne-667-JEJ_S209_L001_R1_001_F_filt-fastq-gz	Julianne-716-CEC_S231_L001_R1_001_F_filt-fastq-gz	Julianne-716-COL_S258_L001_R1_001_F_filt-fastq-gz	Julianne-717-CEC_S230_L001_R1_001_F_filt-fastq-gz	Julianne-717-COL_S257_L001_R1_001_F_filt-fastq-gz	Julianne-719-CEC_S245_L001_R1_001_F_filt-fastq-gz	Julianne-719-COL_S272_L001_R1_001_F_filt-fastq-gz	Julianne-719-JEJ_S218_L001_R1_001_F_filt-fastq-gz	Julianne-791-CEC_S229_L001_R1_001_F_filt-fastq-gz	Julianne-791-COL_S256_L001_R1_001_F_filt-fastq-gz	Julianne-835-JEJ_S198_L001_R1_001_F_filt-fastq-gz	Julianne-838-CEC_S281_L001_R1_001_F_filt-fastq-gz	Julianne-838-JEJ_S277_L001_R1_001_F_filt-fastq-gz	Julianne-841-CEC_S278_L001_R1_001_F_filt-fastq-gz	Julianne-841-COL_S282_L001_R1_001_F_filt-fastq-gz	Julianne-847-CEC_S279_L001_R1_001_F_filt-fastq-gz	Julianne-847-COL_S283_L001_R1_001_F_filt-fastq-gz	Julianne-853-CEC_S280_L001_R1_001_F_filt-fastq-gz	Julianne-853-COL_S284_L001_R1_001_F_filt-fastq-gz	Julianne-856-COL_S254_L001_R1_001_F_filt-fastq-gz	Julianne-856-JEJ_S200_L001_R1_001_F_filt-fastq-gz	Julianne-882-COL_S253_L001_R1_001_F_filt-fastq-gz	Julianne-882-JEJ_S199_L001_R1_001_F_filt-fastq-gz	Julianne-891-CEC_S220_L001_R1_001_F_filt-fastq-gz	Julianne-891-COL_S247_L001_R1_001_F_filt-fastq-gz	Julianne-891-JEJ_S193_L001_R1_001_F_filt-fastq-gz	Julianne-899-CEC_S221_L001_R1_001_F_filt-fastq-gz	Julianne-899-COL_S248_L001_R1_001_F_filt-fastq-gz	Julianne-899-JEJ_S194_L001_R1_001_F_filt-fastq-gz	Julianne-923-CEC_S223_L001_R1_001_F_filt-fastq-gz	Julianne-923-JEJ_S196_L001_R1_001_F_filt-fastq-gz	Julianne-924-CEC_S224_L001_R1_001_F_filt-fastq-gz	Julianne-924-JEJ_S197_L001_R1_001_F_filt-fastq-gz	Julianne-962-CEC_S222_L001_R1_001_F_filt-fastq-gz	Julianne-962-JEJ_S195_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-337-JEJ_S134_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-351-JEJ_S150_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-536-CEC_S103_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-540-CEC_S119_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-540-JEJ_S118_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-544-CEC_S179_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-544-JEJ_S178_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-579-COL_S159_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-582-JEJ_S142_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-604-COL_S166_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-661-CEC_S111_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-663-JEJ_S126_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-665-COL_S180_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-667-COL_S173_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-716-JEJ_S110_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-717-JEJ_S102_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-835-CEC_S158_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-835-COL_S151_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-838-COL_S128_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-840-CEC_S109_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-840-COL_S141_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-840-JEJ_S177_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-841-JEJ_S104_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-842-CEC_S117_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-842-COL_S133_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-847-JEJ_S112_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-853-JEJ_S120_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-856-CEC_S172_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-858-CEC_S171_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-858-COL_S149_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-858-JEJ_S164_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-872-CEC_S125_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-872-COL_S157_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-872-JEJ_S101_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-882-CEC_S165_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-923-COL_S135_L001_R1_001_F_filt-fastq-gz	Rep1-Julianne-924-COL_S143_L001_R1_001_F_filt-fastq-gz	taxonomy
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	18655.6695882284	12473.7073089976	11055.5550026561	11846.7560097233	8451.79299782204	5590.1709190842	10434.2092631666	2921.5715498254	6615.75747561657	9072.20568876025	5872.90985254444	15188.8470422295	8458.96766672149	13493.6441708277	8481.21055848375	10844.7472669296	16869.2499600188	5057.85472506388	7875.88550090071	11821.7996884027	4447.4956563939	9074.31293373219	7227.32553260718	11342.9574542612	7722.91820733562	9724.49762719209	6764.19415349825	6844.45335991088	8435.9770037518	10081.0700999943	7592.95830193637	7856.21933294569	7775.40918164807	9902.24890902241	5752.77472136495	4518.38976639194	7977.38235857994	11918.4386823345	7862.65494186308	9945.90036931952	5540.60710759739	7847.33574436152	9025.88263429033	12996.718022154	12444.0737697406	9605.05020350403	7660.06470880838	11126.2093439131	15636.8051942278	7300.85546267785	3963.88108073502	7272.65278006502	5839.06751039242	13348.8258220173	10377.2004147345	6526.80576679565	15409.6174549658	8606.11296579117	6933.4430924628	8607.50633069927	13452.6282488073	13024.5931847096	12524.486561558	8330.26180714071	10809.3424471902	9725.28629812016	5091.82126090057	5852.50848975513	8239.15744732982	6378.82275182904	3978.5741005319	11890.3994885428	5732.28970685537	5529.20037071612	10265.5659320758	16093.4355627049	4440.00287212169	7893.15568641684	9413.14093923721	4527.03530217539	4998.53057727682	6437.41800830422	5106.69297277341	6501.75401334785	7127.47245472629	8365.60128680991	7134.61739391128	6060.71215958581	7973.17658548385	5822.47041585185	5395.36073016642	7668.86776939033	5538.01117344303	8390.63701470782	12449.9467923637	7473.9602147022	15404.7570056922	8183.77469392273	7080.70084556485	6936.29212320884	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.0	1.96855477565425	1.56231812343951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32911866194021	6.72623613109454	0.0	0.0	0.0	0.0	5.72724809367388	0.0	0.828322959619155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55093628051919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.1122271299084	26.4369710627022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.049811779984	0.0	0.0	2.32152838990085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.55541504648461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55036760629905	0.0	2.47908633705279	0.0	0.0	1.23724348773967	0.0	0.0	0.0	0.0	0.0	10.0305297362654	3.26593706524108	0.0	0.0	0.0	0.0	
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.29	19.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.71	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43141104294479	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	6.0	1.57	0.0	0.0	0.0	0.0	
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	6.36909668138818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.6703768783746	0.0	0.0	0.0	0.0	0.0	33.6053720366558	0.0	4.08904588582338	0.0	0.0	40.9223390432705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.527696313832	167.137049694662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	575.635726132995	0.0	0.0	12.0352602601465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7251435602961	0.0	0.0	5.25561216891304	0.0	0.0	0.0	0.0	0.0	32.0291367672702	12.0818283549324	0.0	0.0	0.0	0.0	
ANAEROFRUCAT-PWY	homolactic fermentation	22347.4885465881	15778.3285080911	10065.0271269809	14524.0582076844	10112.7721659288	6486.75756830649	13225.7567926738	15519.4900450125	7811.75630235405	11417.0540811846	7413.06843219382	3376.50953611283	10863.3755633433	13454.4067885266	10907.1017139107	9142.58967981256	20625.5315920613	9072.87039696396	10042.8273264127	15781.4693150006	4819.01064846469	13493.3431859516	9885.81588818287	10536.0317053061	9179.26699340992	12475.7029210158	8875.78035213477	8291.70929788687	9422.75525936641	12153.2418733248	9377.39666947864	9093.46868169297	9627.17845499447	11727.5075319882	7234.6736008915	5491.17536357374	9017.54080104791	14023.9925633155	7769.92647836303	12565.3826286865	5466.89103056172	9930.63601453591	11501.7361149992	14315.0452241104	13863.4864372962	12277.8765422157	9822.91899678163	11495.2901428036	12341.848448943	9997.47832235957	6584.85380074846	9392.15906648871	7554.25178065185	12573.3521010986	13713.2326070062	8698.72761664837	29846.9402302146	10427.8440196392	7279.57124634706	8918.95156062439	10612.0842473891	11454.8847750306	1610.37845674748	11864.1178061485	11832.7360460834	11214.0880781082	6020.93686621112	6803.22743358152	8493.17054936789	7825.62852728392	5288.03110263628	17705.0830573005	7437.14881176517	6613.51452278362	15398.6715066215	19851.0025794872	5630.90650379578	9391.91628048974	13922.8332522146	6083.00322091221	6576.73602639412	8069.74053783949	6430.27277774106	8729.90901265371	11982.0546098906	10376.9001628852	9078.2416508368	7601.95641373097	9435.06533382343	13501.5623935942	6066.68691635903	9413.95082733764	7033.41858906761	20743.9852483636	12865.9158982916	8891.77330274602	1054.8484318291	9719.9979535026	8864.71202628948	8538.0026686199	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	25019.0239391733	19315.9261874346	13838.190861014	15520.6754914795	11260.2347936043	8139.80273640232	14282.4095302074	16063.2187702252	8818.15928106995	12483.4044159621	8336.47532212359	19738.7375880171	12248.4513016158	17939.1280275249	12639.6479537674	16010.6102158459	22968.8742046652	16767.6247396415	10817.1410299572	18226.6738432925	5815.50866147543	15711.4542346706	10757.3424020838	17792.3348138798	10081.5655366089	14365.1022650522	26210.0910001118	9241.05038084043	17752.9366626577	13189.3506545824	10262.2297325873	10357.7505462504	10576.6054299314	12881.5147422637	8444.42358488983	7521.93861991718	10366.830247516	15359.9162101994	11066.8063531816	13717.729955983	9974.7303088801	10808.232066182	12472.4292733731	18232.8408894857	17448.8048228621	13290.0983667711	10586.0414274266	14294.8491661368	23108.540589274	11350.5859587736	23633.1390582988	10036.3652186511	8053.50475860744	24366.4120897511	14666.1315023909	9283.84278227003	42180.3848938509	11419.1376054954	13535.4354684561	11256.7175094131	18274.1648412671	16905.0924757629	31281.2860839383	17542.585236275	15188.9374249835	13072.6199374873	6877.33459102437	8277.85241558921	10710.2278260335	10519.7740493068	6615.77179720286	21753.4805995502	8309.16625815681	7522.83138802326	22849.2710267651	21457.2588064265	6443.38149553447	12402.1377287374	15256.3423290416	6951.99644756002	7077.16773186325	9141.46089253137	6865.65550499317	8920.34266279173	13576.6723667695	13216.5433475863	10083.0862586779	8560.49938300226	14480.237521111	15906.4142940745	7012.82875405927	10257.9470905892	7672.49059305347	21412.1261667412	16060.0853996023	10200.4088574135	22599.9320723746	10779.2364242315	9611.49465965769	9231.41043128972	
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	3165.50432422789	982.915955057933	542.403657217531	405.356377925622	936.569246159357	246.886320355594	1300.36451394827	11.5481049651301	704.780501270235	908.439320164743	505.302449430657	0.0	831.325782714422	1962.0831024245	653.487230418046	37.2083286406024	2785.69714176127	181.95286565442	1146.24746820386	1467.50147497508	530.817689660746	696.603841573306	726.345999654988	1487.54772347101	1011.47368495231	868.422585086823	86.4838321996442	391.849547972644	197.499395275247	1027.070851086	614.865774253238	782.699700087825	782.900409957466	915.86844133206	472.000104084374	83.5367726014669	977.720679018858	1727.545053618	114.093368012867	1625.664094257	69.4020669546873	862.816417125638	1085.18605617295	1487.99209012459	1336.40062627218	1087.04770160365	900.012387832222	553.670757715096	316.87722316417	851.555287669236	56.8967154602754	925.430457502041	703.433966222479	171.467065611423	1883.10389439637	966.949730953568	114.073509111554	1391.27918587538	28.910868762235	985.899980277073	488.735134581889	2047.13347337731	13.7641815069148	493.405045950857	213.77827237854	1167.88077085225	753.431628759006	194.907354889858	1133.74402390917	425.367202589039	373.065150996156	818.636566232874	730.485413663381	448.543527281339	1053.66494128315	2436.10540506544	303.290207346338	369.250870499118	201.712800936811	233.993388527808	404.847024134195	1199.94936985962	731.56498235484	723.569823059421	143.76576107473	627.360758639597	1242.46269797486	1067.84100011448	370.084305925776	235.581501883169	336.470864021616	1101.03201411942	633.587304495322	556.116479341534	552.807991638248	304.104204825253	28.5250319672539	984.000163503939	811.925535887596	655.014768934745	
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	2.38136854766549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4451727744722	0.0	0.0	0.0	0.0	0.0	7.98540735764772	0.0	1.65582019104151	0.0	0.0	3.30769147475129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.6549269040709	42.6970025000172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.838752750796	0.0	0.0	3.22120250690299	0.0	0.0	0.0	15.0784853657356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64701153235681	0.0	0.0	1.65567072585905	0.0	0.0	0.0	0.0	0.0	13.8488577487229	4.06001278714778	0.0	0.0	0.0	0.0	
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	2928.86156639532	193.106012270629	331.567087438077	724.082128267478	776.858227692945	188.615548891052	1349.70762897863	346.656991495733	259.905163043666	551.011361081435	179.206289485467	74.875214940128	404.525420370263	1662.88226331526	501.254488716644	167.880390304417	2095.63941753707	55.6410363451807	478.997968614758	756.210374603267	309.321562790662	225.092353882533	436.446043215406	137.592503679269	728.749998495085	636.182639302082	708.908028552733	595.781354354397	310.078125585275	1042.97133188636	390.57655219339	636.886663104107	663.902762862364	684.099493459621	240.340007611353	50.3165982921253	734.989568212751	1262.42472708652	87.6175811624935	727.3182620311	68.3190877425948	560.204292885548	668.773535667707	226.391239036963	380.528745925729	724.307548975875	589.524180812628	490.594353003787	263.478975872666	276.048054416587	515.092682873847	590.565669691193	366.229881890018	216.199310496083	1602.79358334879	833.36533953608	70.9150005089105	501.071618016389	15.388317660219	912.315140211671	792.9468166237	1469.04791089134	53.9593786179521	1457.42499800662	177.549757912566	932.019883538625	268.830701326878	35.3264876017417	716.62662049375	88.2359824900569	296.317599280336	110.542839767591	321.246732559139	536.177774062843	1049.70876794883	1819.45700377094	197.719061694296	126.01736384216	246.32197773472	160.268720131565	320.700258054467	534.331796459528	113.737789172424	240.166380010871	129.489551826832	316.109754124892	538.871522287842	410.235311489271	205.144342242429	225.598916135865	126.608569703343	1014.87014356403	630.73985235739	171.128480995255	231.722806015247	140.146393623788	22.7859425724707	751.579366683103	507.168997444761	485.940438514721	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	15436.7977633655	5896.2190332742	9714.89329820965	7286.72475209922	7216.05053324229	2603.52278560053	8176.15890275127	10523.6386179879	4583.36324120239	7054.9200446223	4033.46097006517	580.929861370751	5317.85848593059	12575.3185872053	5240.77410065385	2051.07505593421	14757.7076367818	3300.10964467919	6168.03128417141	8231.07765158101	3716.92012801347	4858.77698630305	4680.11177253042	5041.18469557472	6345.16259938301	7697.68552967324	1188.22263456225	5570.47152570413	2084.15357327482	7703.3645883065	3773.52905776554	6775.16230376307	6464.28944282084	7654.1566930976	3600.75781432749	1717.5943075514	6952.09043088279	9372.92495696485	2130.49040021362	7057.56465598665	1493.2919841676	5993.92566266385	6988.4524102405	10674.6004245445	9827.59568627785	7887.94067870652	5863.63822092556	10692.0022145951	3441.37070658805	4931.60503500947	511.074015598304	5603.01383349541	4199.98423038875	4218.08256465297	7949.38145596421	4500.0097870391	1412.95804331702	6894.37744385638	1590.08954051159	7904.35730694273	3107.20135350481	12463.3454735775	160.610203554331	4737.32225285457	4401.58860305284	8622.5538517634	4431.39725660434	2793.85290223781	7354.18373530251	2352.5413066702	2082.98386631942	8313.47106977091	3265.11214774111	4813.5869854794	6557.6410131915	12693.665077728	2365.87331527336	2951.84034286756	3616.15147815591	2371.13888179197	3876.70983562032	4287.52665781584	4224.41979798122	5721.16648685204	5000.72744161409	3913.98115220372	5463.06344294521	4197.18290132157	3219.93611146502	3933.58403078273	4926.2416774783	6485.68097949992	4264.06405867967	5702.72921664552	11435.7624382356	4775.21840150686	144.962826004503	7033.65493942671	5210.62512591727	5226.28357148525	
