"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X2"
"1","CENTFERM.PWY","Genotype","HET",1.37593537666964,0.678354150533694,71,42,0.0465640512556701,0.201413192535104,"pyruvate fermentation to butanoate","Fermentation"
"2","FAO.PWY","Genotype","HET",1.23321206427979,0.587520191109206,71,42,0.039644952740949,0.185320624617338,"fatty acid &beta;-oxidation I","Fatty-Acid-and-Lipid-Degradation"
"3","GLYCOL.GLYOXDEG.PWY","Genotype","MUT",0.733961376739833,0.370626293890789,71,70,0.0518379565710989,0.214683799949803,"superpathway of glycol metabolism and degradation","Alcohol-Degradation"
"4","GLYCOL.GLYOXDEG.PWY","Genotype","MUT",0.733961376739833,0.370626293890789,71,70,0.0518379565710989,0.214683799949803,"superpathway of glycol metabolism and degradation","Super-Pathways"
"5","GLYCOL.GLYOXDEG.PWY","Genotype","HET",0.615914408367625,0.366545880090111,71,70,0.0976226645851223,0.305645829434048,"superpathway of glycol metabolism and degradation","Alcohol-Degradation"
"6","GLYCOL.GLYOXDEG.PWY","Genotype","HET",0.615914408367625,0.366545880090111,71,70,0.0976226645851223,0.305645829434048,"superpathway of glycol metabolism and degradation","Super-Pathways"
"7","GOLPDLCAT.PWY","Genotype","HET",0.631253455037295,0.534321610759097,71,64,0.241679030624373,0.507101966011841,"superpathway of glycerol degradation to 1,3-propanediol","Alcohol-Degradation"
"8","GOLPDLCAT.PWY","Genotype","HET",0.631253455037295,0.534321610759097,71,64,0.241679030624373,0.507101966011841,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways"
"9","GOLPDLCAT.PWY","Genotype","MUT",1.20229963755848,0.540269715465678,71,64,0.0294784307320798,0.153957219019945,"superpathway of glycerol degradation to 1,3-propanediol","Alcohol-Degradation"
"10","GOLPDLCAT.PWY","Genotype","MUT",1.20229963755848,0.540269715465678,71,64,0.0294784307320798,0.153957219019945,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways"
"11","HEXITOLDEGSUPER.PWY","Genotype","HET",0.677140437221767,0.355449843876491,71,71,0.0611354739141921,0.236915140525459,"superpathway of hexitol degradation (bacteria)","SECONDARY-METABOLITE-DEGRADATION"
"12","HEXITOLDEGSUPER.PWY","Genotype","HET",0.677140437221767,0.355449843876491,71,71,0.0611354739141921,0.236915140525459,"superpathway of hexitol degradation (bacteria)","Super-Pathways"
"13","LEU.DEG2.PWY","Genotype","HET",1.29657783377087,0.593041098118717,71,36,0.0323432961366719,0.162531857896889,"L-leucine degradation I","Amino-Acid-Degradation"
"14","LEU.DEG2.PWY","Genotype","MUT",0.596376816223683,0.599642872173681,71,36,0.323585958942336,0.563494538109524,"L-leucine degradation I","Amino-Acid-Degradation"
"15","P341.PWY","Genotype","HET",1.01500995081485,0.281155658624359,71,70,0.000590539864622027,0.00653968220451801,"glycolysis V (Pyrococcus)","GLYCOLYSIS-VARIANTS"
"16","P341.PWY","Genotype","MUT",0.719550883472457,0.284285502640904,71,70,0.0137618065809138,0.0909343683468118,"glycolysis V (Pyrococcus)","GLYCOLYSIS-VARIANTS"
"17","P562.PWY","Genotype","HET",1.28922632118459,0.341209245069265,71,69,0.000341436018122814,0.00400350468308711,"myo-inositol degradation I","SECONDARY-METABOLITE-DEGRADATION"
"18","P562.PWY","Genotype","MUT",0.631375649918473,0.345007609716434,71,69,0.0717610571587537,0.259293729189938,"myo-inositol degradation I","SECONDARY-METABOLITE-DEGRADATION"
