Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen,Mean_Background_Avg,CTCF,Corrected_Mean
5.2.23_P1_B,5.2.23,5.19.23,Yes,27,WT,Female,P1,B,True,,Background_2,6732,6.568,0,65,44218,44218,8.08725,,
5.2.23_P1_B,5.2.23,5.19.23,Yes,27,WT,Female,P1,B,True,,Background_3,6376,6.971,0,68,44446,44446,8.08725,,
5.2.23_P1_B,5.2.23,5.19.23,Yes,27,WT,Female,P1,B,True,,Background_4,4756,8.68,0,64,41283,41283,8.08725,,
5.2.23_P1_B,5.2.23,5.19.23,Yes,27,WT,Female,P1,B,True,,Contralateral,1233501,14.129,0,255,17428589,17428589,8.08725,7452958.03775,6.04175
5.2.23_P1_B,5.2.23,5.19.23,Yes,27,WT,Female,P1,B,True,,Ipsilateral,1044802,10.018,0,255,10466941,10466941,8.08725,2017366.0255,1.93075
5.2.23_P1_B,5.2.23,5.19.23,"Yes, DAPI was dark",27,WT,Female,P1,B,True,,Background_1,8184,10.13,0,134,82906,82906,8.08725,,
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Background_1,12824,7.252,0,137,92998,92998,9.73025,,
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Background_2,13684,13.821,0,129,189122,189122,9.73025,,
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Background_3,12824,9.727,0,76,124734,124734,9.73025,,
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Background_4,13368,8.121,0,101,108564,108564,9.73025,,
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Contralateral,1030172,15.047,0,189,15501407,15501407,9.73025,5477575.897,5.31675
5.9.23_P1_E,5.9.23,5.12.23,"Yes, super dark",27,WT,Female,P1,E,True,,Ipsilateral,1224272,9.978,0,255,12216088,12216088,9.73025,303615.372,0.24775
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Background_1,15380,26.263,0,148,403931,403931,26.2375,,
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Background_2,39434,24.472,0,212,965031,965031,26.2375,,
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Background_3,39434,24.368,0,192,960938,960938,26.2375,,
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Background_4,39434,29.847,0,255,1176974,1176974,26.2375,,
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Contralateral,1405786,96.296,0,255,135371669,135371669,26.2375,98487358.825,70.0585
2.2.23_P4_D,2.2.23,2.20.23,No,21,MUT,Male,P4,D,True,,Ipsilateral,1203180,57.879,0,255,69639311,69639311,26.2375,38070875.75,31.6415
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Background_1,37221,15.258,0,143,567915,567915,16.531,,
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Background_2,37221,17.864,0,153,664913,664913,16.531,,
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Background_3,37221,17.011,0,132,633161,633161,16.531,,
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Background_4,37221,15.991,0,117,595186,595186,16.531,,
