"","MouseID","Category","Average_Count","Genotype","Sex"
"1","11","Contralateral",44,"HET","Male"
"2","12","Contralateral",60,"WT","Male"
"3","13","Contralateral",67,"WT","Male"
"4","15","Contralateral",172,"MUT","Male"
"5","16","Contralateral",111,"HET","Male"
"6","17","Contralateral",63,"WT","Female"
"7","18","Contralateral",83,"HET","Female"
"8","1904","Contralateral",75.2,"MUT","Male"
"9","1906","Contralateral",103,"WT","Male"
"10","1907","Contralateral",65.5,"HET","Female"
"11","1908","Contralateral",55,"HET","Female"
"12","1910","Contralateral",105,"MUT","Female"
"13","1913","Contralateral",53.5,"MUT","Male"
"14","1914","Contralateral",36,"WT","Male"
"15","1917","Contralateral",50.5,"MUT","Female"
"16","1920","Contralateral",45,"WT","Female"
"17","1921","Contralateral",59.75,"MUT","Female"
"18","1937","Contralateral",79,"WT","Male"
"19","1938","Contralateral",28,"HET","Male"
"20","1941","Contralateral",45,"WT","Female"
"21","1943","Contralateral",91,"HET","Male"
"22","1944","Contralateral",53.5,"MUT","Male"
"23","1945","Contralateral",59.6666666666667,"HET","Male"
"24","21","Contralateral",110,"MUT","Male"
"25","25","Contralateral",49.5,"WT","Female"
"26","35","Contralateral",65,"MUT","Female"
"27","37","Contralateral",196,"MUT","Female"
