Merged_ID,Date of Experiment_Day_1,Date_Imaged,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Exclude,Comments,Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Optimal_Threshold,Repeated_if_failed,Particle_Size,Threshold,MouseID,Genotype,Sex
2.6.23_P1_A,2.6.23,2.12.23,P1,A,NO,,Ipsilateral,P1_A_2623_Rb_pS129_Stitch.tif,602,3950,6.561,0.248,255,1673.173,YES,,3.5-10,70,25,WT,Female
2.6.23_P1_A,2.6.23,2.12.23,P1,A,NO,,Contralateral,P1_A_2623_Rb_pS129_Stitch.tif,82,485,5.915,0.025,255,1508.232,YES,,3.5-10,70,25,WT,Female
2.6.23_P1_C,2.6.23,2.12.23,P1,C,NO,,Ipsilateral ,P1_C_2623_Rb_pS129_Stitch.tif,187,1220,6.524,0.09,255,1663.636,YES,,3.5-10,70,35,MUT,Female
2.6.23_P1_C,2.6.23,2.12.23,P1,C,NO,,Contralateral ,P1_C_2623_Rb_pS129_Stitch.tif,77,469,6.091,0.027,255,1553.182,YES,,3.5-10,70,35,MUT,Female
2.6.23_P1_D,2.6.23,2.12.23,P1,D,NO,,Ipsilateral,P1_D_2623_Rb_pS129_Stitch.tif,107,663,6.196,0.071,255,1580.047,YES,,3.5-10,70,11,HET,Male
2.6.23_P1_D,2.6.23,2.12.23,P1,D,NO,,Contralateral,P1_D_2623_Rb_pS129_Stitch.tif,38,231,6.079,0.022,255,1550.132,YES,,3.5-10,70,11,HET,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,70 threshold picks up too much,Ipsilateral,P2_A_2623_Rb_pS129_Stitch.tif,145,937,6.462,0.104,255,1647.828,NO,YES,3.5-10,70,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,70 threshold picks up too much,Contralateral,P2_A_2623_Rb_pS129_Stitch.tif,81,543,6.704,0.035,255,1709.444,NO,YES,3.5-10,70,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Ipsilateral,P2_A_2623_Rb_pS129_Stitch.tif,427,1335,3.126,0.149,255,797.248,YES,,1-10,100,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Contralateral,P2_A_2623_Rb_pS129_Stitch.tif,321,733,2.283,0.048,255,582.29,YES,,1-10,100,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Ipsilateral,P2_A_2623_Rb_pS129_Stitch.tif,467,1947,4.169,0.217,255,1063.137,YES,,0-Inf,100,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Contralateral,P2_A_2623_Rb_pS129_Stitch.tif,347,1180,3.401,0.077,255,867.147,YES,,0-Inf,100,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Ipsilateral,P2_A_2623_Rb_pS129_Stitch.tif,136,917,6.743,0.102,255,1719.375,YES,,3.5-10,100,13,WT,Male
2.6.23_P2_A,2.6.23,2.15.23,P2,A,NO,100 threshold,Contralateral,P2_A_2623_Rb_pS129_Stitch.tif,67,400,5.97,0.026,255,1522.388,YES,,3.5-10,100,13,WT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,70 threshold picks up too much,Ipsilateral,P2_D_2623_Rb_pS129_Stitch.tif,700,4611,6.587,0.384,255,1679.721,NO,YES,3.5-10,70,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,70 threshold picks up too much,Contralateral,P2_D_2623_Rb_pS129_Stitch.tif,148,981,6.628,0.069,255,1690.236,NO,YES,3.5-10,70,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_2623_Rb_pS129_Stitch-1.tif,1534,5239,3.415,0.419,255,870.89,YES,,1-10,100,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Contralateral,P2_D_2623_Rb_pS129_Stitch-1.tif,485,1370,2.825,0.092,255,720.309,YES,,1-10,100,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_2623_Rb_pS129_Stitch-1.tif,1667,7363,4.417,0.589,255,1126.314,YES,,0-Inf,100,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Contralateral,P2_D_2623_Rb_pS129_Stitch-1.tif,519,1846,3.557,0.125,255,906.994,YES,,0-Inf,100,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_2623_Rb_pS129_Stitch-1.tif,578,3672,6.353,0.294,255,1620,YES,,3.5-10,100,21,MUT,Male
2.6.23_P2_D,2.6.23,2.15.23,P2,D,NO,100 threshold,Contralateral,P2_D_2623_Rb_pS129_Stitch-1.tif,140,894,6.386,0.06,255,1628.357,YES,,3.5-10,100,21,MUT,Male
2.9.23_P3_B,2.9.23,2.15.23,P3,B,NO,70 maybe too permissive,Ipsilateral,P3_B_2923_Rb_pS129_Stitch.tif,436,2924,6.706,0.214,255,1710.138,NO,,3.5-10,70,19,WT,Female
2.9.23_P3_B,2.9.23,2.15.23,P3,B,NO,70 maybe too permissive,Contralateral,P3_B_2923_Rb_pS129_Stitch.tif,131,860,6.565,0.055,255,1674.046,NO,,3.5-10,70,19,WT,Female
2.6.23_P1_B,2.6.23,2.17.23,P1,B,YES,70 threshold picks up too much,Ipsilateral,P1_B_2623_Rb_pS129_Stitch.tif,164,1037,6.323,0.074,255,1612.409,EXCLUDE,EXCLUDE,3.5-10,70,#N/A,#N/A,#N/A
2.6.23_P1_B,2.6.23,2.17.23,P1,B,YES,70 threshold picks up too much,Contralateral,P1_B_2623_Rb_pS129_Stitch.tif,48,310,6.458,0.017,255,1646.875,EXCLUDE,EXCLUDE,3.5-10,70,#N/A,#N/A,#N/A
2.2.23_P5_C,2.2.23,2.20.23,P5,C,NO,,Ipsilateral,P5_C_2223_Rb_pS129_Stitch.tif,203,1424,7.015,0.155,255,1788.768,YES,,3.5-10,70,25,WT,Female
2.2.23_P5_C,2.2.23,2.20.23,P5,C,NO,,Contralateral,P5_C_2223_Rb_pS129_Stitch.tif,17,102,6,0.011,255,1530,YES,,3.5-10,70,25,WT,Female
2.6.23_P2_C,2.6.23,2.20.23,P2,C,NO,,Ipsilateral,P2_C_2623_Rb_pS129_Stitch.tif,110,719,6.536,0.081,255,1666.773,YES,,3.5-10,70,11,HET,Male
2.6.23_P2_C,2.6.23,2.20.23,P2,C,NO,,Contralateral,P2_C_2623_Rb_pS129_Stitch.tif,50,344,6.88,0.033,255,1754.4,YES,,3.5-10,70,11,HET,Male
2.9.23_P3_C,2.9.23,2.20.23,P3,C,NO,70 maybe too permissive,Ipsilateral,P3_C_2923_Rb_pS129_Stitch.tif,1619,10951,6.764,0.67,255,1724.833,YES,,3.5-10,70,16,HET,Male
2.9.23_P3_C,2.9.23,2.20.23,P3,C,NO,negligible on this side,Contralateral,P3_C_2923_Rb_pS129_Stitch.tif,106,667,6.292,0.042,255,1604.575,YES,,3.5-10,70,16,HET,Male
2.9.23_P4_B,2.9.23,2.20.23,P4,B,NO,70 maybe too permissive,Ipsilateral,P4_B_2923_Rb_pS129_Stitch.tif,645,4449,6.898,0.34,255,1758.907,NO,,3.5-10,70,21,MUT,Male
2.9.23_P4_B,2.9.23,2.20.23,P4,B,NO,70 threshold picks up too much,Contralateral,P4_B_2923_Rb_pS129_Stitch.tif,118,792,6.712,0.057,255,1711.525,NO,,3.5-10,70,21,MUT,Male
2.9.23_P4_C,2.9.23,2.20.23,P4,C,NO,,Ipsilateral,P4_C_2923_Rb_pS129_Stitch.tif,1267,8507,6.714,0.523,255,1712.143,YES,,3.5-10,70,16,HET,Male
2.9.23_P4_C,2.9.23,2.20.23,P4,C,NO,,Contralateral,P4_C_2923_Rb_pS129_Stitch.tif,116,765,6.595,0.049,255,1681.681,YES,,3.5-10,70,16,HET,Male
2.22.23_P2_B,2.22.23,2.26.23,P2,B,NO,,Ipsilateral,P2_B_22223_Rb_pS129_Stitch.tif,501,3403,6.792,0.223,255,1732.066,YES,,3.5-10,70,18,HET,Female
2.22.23_P2_B,2.22.23,2.26.23,P2,B,NO,,Contralateral,P2_B_22223_Rb_pS129_Stitch.tif,83,550,6.627,0.032,255,1689.759,YES,,3.5-10,70,18,HET,Female
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,70 maybe too permissive,Ipsilateral,P2_D_22223_Rb_pS129_Stitch.tif,722,4939,6.841,0.458,255,1744.384,NO,YES,3.5-10,70,13,WT,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,70 threshold picks up too much,Contralateral,P2_D_22223_Rb_pS129_Stitch.tif,44,284,6.455,0.026,255,1645.909,NO,YES,3.5-10,70,13,WT,Male
2.22.23_P2_E,2.22.23,2.26.23,P2,E,NO,,Ipsilateral,P2_E_22223_Rb_pS129_Stitch.tif,533,3529,6.621,0.267,255,1688.358,YES,,3.5-10,70,37,MUT,Female
2.22.23_P2_E,2.22.23,2.26.23,P2,E,NO,,Contralateral,P2_E_22223_Rb_pS129_Stitch.tif,196,1349,6.883,0.081,255,1755.077,YES,,3.5-10,70,37,MUT,Female
2.22.23_P3_C,2.22.23,2.26.23,P3,C,YES,SUPER folded (probably exclude),Contralateral,P3_C_22323_Rb_pS129_Stitch.tif,421,2396,5.691,0.238,255,1451.259,EXCLUDE,EXCLUDE,3.5-10,70,11,HET,Male
2.22.23_P3_C,2.22.23,2.26.23,P3,C,NO,uneven hemispheres,Ipsilateral,P3_C_22323_Rb_pS129_Stitch.tif,319,2148,6.734,0.236,255,1717.053,NO,,3.5-10,70,11,HET,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_22223_Rb_pS129_Stitch-1.tif,2000,7910,3.955,0.743,255,1008.525,YES,,1-10,100,21,MUT,Male
