"","MouseID","Category","Average_Mean","Genotype","Sex"
"1",11,"Contralateral",35.938375,"HET","Male"
"2",12,"Contralateral",118.25375,"WT","Male"
"3",13,"Contralateral",63.754,"WT","Male"
"4",15,"Contralateral",28.356,"MUT","Male"
"5",16,"Contralateral",28.71325,"HET","Male"
"6",17,"Contralateral",22.8205,"WT","Female"
"7",18,"Contralateral",11.68075,"HET","Female"
"8",19,"Contralateral",55.246875,"WT","Female"
"9",21,"Contralateral",58.8658125,"MUT","Male"
"10",25,"Contralateral",38.85825,"WT","Female"
"11",35,"Contralateral",67.348125,"MUT","Female"
"12",37,"Contralateral",50.02875,"MUT","Female"
"13",1904,"Contralateral",22.4243125,"MUT","Male"
"14",1906,"Contralateral",100.837375,"WT","Male"
"15",1907,"Contralateral",18.7641875,"HET","Female"
"16",1908,"Contralateral",24.12675,"HET","Female"
"17",1910,"Contralateral",89.998375,"MUT","Female"
"18",1913,"Contralateral",18.385625,"MUT","Male"
"19",1914,"Contralateral",30.4581875,"WT","Male"
"20",1917,"Contralateral",17.34875,"MUT","Female"
"21",1920,"Contralateral",24.9079166666667,"WT","Female"
"22",1921,"Contralateral",37.9417083333333,"MUT","Female"
"23",1937,"Contralateral",93.14825,"WT","Male"
"24",1938,"Contralateral",18.454875,"HET","Male"
"25",1941,"Contralateral",24.4365,"WT","Female"
"26",1943,"Contralateral",81.1525,"HET","Male"
"27",1944,"Contralateral",24.616875,"MUT","Male"
"28",1945,"Contralateral",41.117375,"HET","Male"
