Merged_ID,Date of Experiment_Day_1,Date_Imaged,Date_Imaged_GFAP,MouseID,Genotype,Sex,Plate (X of X for the week),"Section (A,B,C,D,E,F)",Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Particle_Size,Threshold,EXCLUDE
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_1,P1_A_5.9.23_Ms_GFAP_Stitch.tif,6020,11542,1.917,0.837,255,488.905,0-Inf,80,YES
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_1,P1_A_5.9.23_Ms_GFAP_Stitch.tif,5906,8183,1.386,0.593,255,353.313,1-10,80,YES
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_1,P1_A_5.9.23_Ms_GFAP_Stitch.tif,273,1526,5.59,0.111,255,1425.385,3.5-10,80,YES
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_2,P1_A_5.9.23_Ms_GFAP_Stitch.tif,25005,48807,1.952,2.888,255,497.732,0-Inf,80,YES
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_2,P1_A_5.9.23_Ms_GFAP_Stitch.tif,24598,39211,1.594,2.321,255,406.489,1-10,80,YES
5.9.23_P1_A,5.9.23,5.11.2023,5/11/2023,1921,MUT,Female,P1,A,Striatum_2,P1_A_5.9.23_Ms_GFAP_Stitch.tif,1706,9469,5.55,0.56,255,1415.355,3.5-10,80,YES
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,172,239,1.39,0.019,255,354.331,0-Inf,70,NO
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,170,217,1.276,0.017,255,325.5,1-10,70,NO
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,7,44,6.286,0.003,255,1602.857,3.5-10,70,NO
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,437,921,2.108,0.114,255,537.426,0-Inf,70,NO
