Mouse ID ,Batch,Score ,SLC_Genotype ,Sex ,Weight,Score_Truncate,Score_Severe
1907,1,4.5,HET,F,22.6,4,5
1938,1,4.5,HET,M,30,4,5
1945,2,4.5,HET,M,28.4,4,5
1946,4,3.5,MUT,F,31.6,3,4
21,5,3.5,MUT,M,28.1,3,4
37,6,3.5,MUT,F,24.7,3,4
15,4,4.5,MUT,M,27.3,4,5
28,4,4,HET,M,25.9,4,4
18,4,4,HET,F,22,4,4
1908,2,5,HET,F,21.4,5,5
1942,3,5,HET,F,23.2,5,5
1943,3,5,HET,M,24.9,5,5
32,5,5,HET,F,26,5,5
11,5,5,HET,M,27.7,5,5
36,6,5,HET,F,33.5,5,5
16,6,5,HET,M,25.5,5,5
35,5,3,MUT,F,24.3,3,3
1904,1,5,MUT,M,NA,5,5
1910,1,5,MUT,F,24.9,5,5
1913,2,5,MUT,M,28.5,5,5
1917,2,5,MUT,F,23,5,5
1944,3,5,MUT,M,28.5,5,5
1921,3,5,MUT,F,20.8,5,5
30,6,5,MUT,M,23.6,5,5
19,4,3,WT,F,21.3,3,3
13,5,3,WT,M,26.9,3,3
27,6,4,WT,F,24.9,4,4
1920,1,5,WT,F,24.2,5,5
1906,1,5,WT,M,31.2,5,5
1914,2,5,WT,M,26.6,5,5
1941,2,5,WT,F,NA,5,5
17,3,5,WT,F,22,5,5
1937,3,5,WT,M,29.3,5,5
12,4,5,WT,M,25.3,5,5
25,5,5,WT,F,23,5,5
14,6,5,WT,M,30,5,5
