"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X2"
"1","CATECHOL.ORTHO.CLEAVAGE.PWY","Genotype","HET",0.946231964216459,0.365310891503174,67,11,0.0119404871086545,0.0638852879073772,"catechol degradation to &beta;-ketoadipate","AROMATIC-COMPOUNDS-DEGRADATION"
"2","CENTFERM.PWY","Genotype","MUT",0.982192194838699,0.742250349585298,67,32,0.190607335643159,0.420811307204041,"pyruvate fermentation to butanoate","Fermentation"
"3","CENTFERM.PWY","Genotype","HET",1.51564966394106,0.688011360513232,67,32,0.0313243107584874,0.127326976502796,"pyruvate fermentation to butanoate","Fermentation"
"4","FAO.PWY","Genotype","HET",1.49334093539905,0.745124067613589,67,32,0.0494273851831414,0.168622421392279,"fatty acid &beta;-oxidation I","Fatty-Acid-and-Lipid-Degradation"
"5","FAO.PWY","Genotype","MUT",0.921852631692493,0.803865504863229,67,32,0.25588116453346,0.493149161361092,"fatty acid &beta;-oxidation I","Fatty-Acid-and-Lipid-Degradation"
"6","GOLPDLCAT.PWY","Genotype","MUT",1.10210903490044,0.304594037686712,67,67,0.000597396017036501,0.00727614924120862,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways"
"7","GOLPDLCAT.PWY","Genotype","MUT",1.10210903490044,0.304594037686712,67,67,0.000597396017036501,0.00727614924120862,"superpathway of glycerol degradation to 1,3-propanediol","Alcohol-Degradation"
"8","GOLPDLCAT.PWY","Genotype","HET",1.28439648824009,0.282336220373811,67,67,2.56251992740936e-05,0.000677505268612622,"superpathway of glycerol degradation to 1,3-propanediol","Super-Pathways"
"9","GOLPDLCAT.PWY","Genotype","HET",1.28439648824009,0.282336220373811,67,67,2.56251992740936e-05,0.000677505268612622,"superpathway of glycerol degradation to 1,3-propanediol","Alcohol-Degradation"
"10","HEXITOLDEGSUPER.PWY","Genotype","MUT",0.768495689056696,0.336315115145935,67,67,0.0257430836362612,0.111177301441064,"superpathway of hexitol degradation (bacteria)","Super-Pathways"
"11","HEXITOLDEGSUPER.PWY","Genotype","MUT",0.768495689056696,0.336315115145935,67,67,0.0257430836362612,0.111177301441064,"superpathway of hexitol degradation (bacteria)","SECONDARY-METABOLITE-DEGRADATION"
"12","HOMOSER.METSYN.PWY","Genotype","MUT",0.623941903458236,0.327499482888362,67,67,0.0613984870717313,0.19820714505256,"L-methionine biosynthesis I","Amino-Acid-Biosynthesis"
"13","HOMOSER.METSYN.PWY","Genotype","HET",1.26228603673049,0.303567879645044,67,67,0.000100306950471125,0.00159901079868676,"L-methionine biosynthesis I","Amino-Acid-Biosynthesis"
"14","MET.SAM.PWY","Genotype","MUT",0.633068470079133,0.312816120788678,67,67,0.0473088924457807,0.165963881589729,"superpathway of S-adenosyl-L-methionine biosynthesis","Super-Pathways"
"15","MET.SAM.PWY","Genotype","HET",1.21648563091213,0.289957485334343,67,67,8.82994401821148e-05,0.00145025141147595,"superpathway of S-adenosyl-L-methionine biosynthesis","Super-Pathways"
"16","P23.PWY","Genotype","HET",0.530029507219811,0.247918353408502,67,67,0.036472824260388,0.141201933922359,"reductive TCA cycle I","C1-COMPOUNDS"
"17","P23.PWY","Genotype","MUT",0.75384657302202,0.267462857515611,67,67,0.00646708420127286,0.041380919918974,"reductive TCA cycle I","C1-COMPOUNDS"
"18","P4.PWY","Genotype","MUT",0.594029838036599,0.210811691828641,67,67,0.00647934221842533,0.041380919918974,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Super-Pathways"
"19","P4.PWY","Genotype","MUT",0.594029838036599,0.210811691828641,67,67,0.00647934221842533,0.041380919918974,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino-Acid-Biosynthesis"
"20","P4.PWY","Genotype","HET",0.753523484332377,0.195406898748051,67,67,0.000276418308637823,0.00391220615928577,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Super-Pathways"
"21","P4.PWY","Genotype","HET",0.753523484332377,0.195406898748051,67,67,0.000276418308637823,0.00391220615928577,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino-Acid-Biosynthesis"
"22","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY","Genotype","HET",0.946684385587556,0.36903835442615,67,11,0.0127426899865591,0.0660912724661724,"protocatechuate degradation II (ortho-cleavage pathway)","AROMATIC-COMPOUNDS-DEGRADATION"
"23","PWY.5177","Genotype","MUT",0.959588042028141,0.705893803739198,67,32,0.17894561419805,0.403278681477519,"glutaryl-CoA degradation","CARBOXYLATES-DEG"
"24","PWY.5177","Genotype","HET",1.40691804694559,0.654311522466523,67,32,0.0354451473717824,0.138709529787047,"glutaryl-CoA degradation","CARBOXYLATES-DEG"
"25","PWY.5347","Genotype","HET",1.09858944990806,0.261158706909414,67,67,8.49663047268472e-05,0.00141697652806004,"superpathway of L-methionine biosynthesis (transsulfuration)","Super-Pathways"
"26","PWY.5347","Genotype","HET",1.09858944990806,0.261158706909414,67,67,8.49663047268472e-05,0.00141697652806004,"superpathway of L-methionine biosynthesis (transsulfuration)","Amino-Acid-Biosynthesis"
"27","PWY.5347","Genotype","MUT",0.590383673938279,0.28174700684616,67,67,0.0402224431271745,0.150868956227879,"superpathway of L-methionine biosynthesis (transsulfuration)","Super-Pathways"
"28","PWY.5347","Genotype","MUT",0.590383673938279,0.28174700684616,67,67,0.0402224431271745,0.150868956227879,"superpathway of L-methionine biosynthesis (transsulfuration)","Amino-Acid-Biosynthesis"
"29","PWY.6590","Genotype","HET",1.51301816878407,0.686975159662876,67,32,0.0313619028839911,0.127326976502796,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Fermentation"
"30","PWY.6590","Genotype","HET",1.51301816878407,0.686975159662876,67,32,0.0313619028839911,0.127326976502796,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Super-Pathways"
"31","PWY.6590","Genotype","MUT",0.981401649629482,0.741132460423056,67,32,0.190300389803403,0.420811307204041,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Fermentation"
"32","PWY.6590","Genotype","MUT",0.981401649629482,0.741132460423056,67,32,0.190300389803403,0.420811307204041,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Super-Pathways"
"33","PWY.7013","Genotype","MUT",1.32447748690037,0.676447454077705,67,61,0.0547349934388437,0.182562255039097,"L-1,2-propanediol degradation","Alcohol-Degradation"
"34","PWY0.781","Genotype","HET",0.838904559811642,0.217639702452565,67,67,0.000277896562975096,0.00391220615928577,"aspartate superpathway","Super-Pathways"
"35","PWY0.781","Genotype","MUT",0.624393677295651,0.234797206122514,67,67,0.00995198944863504,0.0553171037185543,"aspartate superpathway","Super-Pathways"
