"","MouseID","Average_Mean","Genotype","Sex"
"1","35",54.937,"WT","Female"
"2","43/899",84.1088333333333,"MUT","Male"
"3","536",56.30125,"HET","Male"
"4","540",60.495875,"WT","Female"
"5","542",66.551,"MUT","Female"
"6","579",61.0018125,"HET","Male"
"7","582",43.148375,"HET","Male"
"8","663",64.5453571428571,"WT","Female"
"9","665",58.533375,"MUT","Female"
"10","667",81.42025,"MUT","Female"
"11","717",66.828375,"MUT","Female"
"12","719",94.19305,"HET","Female"
"13","791",88.91525,"WT","Male"
"14","835",95.5509,"MUT","Female"
"15","838",97.8034642857143,"WT","Female"
"16","840",80.44375,"MUT","Female"
"17","842",56.18,"HET","Female"
"18","847",45.4013055555556,"WT","Male"
"19","853",68.3400666666667,"MUT","Male"
"20","858",62.250625,"WT","Male"
"21","872",81.4897,"HET","Female"
"22","891",57.2996931818182,"HET","Male"
"23","924",57.129625,"WT","Male"
"24","962",63.3655,"WT","Female"
