"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X2"
"1","BIOTIN.BIOSYNTHESIS.PWY","Genotype","HET",-1.94968698233923,0.448157098561735,67,60,5.16249080338301e-05,0.000964851729459859,"biotin biosynthesis I","Super-Pathways"
"2","BIOTIN.BIOSYNTHESIS.PWY","Genotype","HET",-1.94968698233923,0.448157098561735,67,60,5.16249080338301e-05,0.000964851729459859,"biotin biosynthesis I","Cofactor-Biosynthesis"
"3","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",-0.95862308140847,0.483487311646191,67,60,0.0518331578116773,0.17341710823413,"biotin biosynthesis I","Super-Pathways"
"4","BIOTIN.BIOSYNTHESIS.PWY","Genotype","MUT",-0.95862308140847,0.483487311646191,67,60,0.0518331578116773,0.17341710823413,"biotin biosynthesis I","Cofactor-Biosynthesis"
"5","CODH.PWY","Genotype","HET",-0.615355396595099,0.265295228287887,67,67,0.023675719756078,0.10475298047179,"reductive acetyl coenzyme A pathway","C1-COMPOUNDS"
"6","FASYN.INITIAL.PWY","Genotype","HET",-2.02727111855923,0.463982113657615,67,60,4.83378561577052e-05,0.000956897649735172,"superpathway of fatty acid biosynthesis initiation (E. coli)","Lipid-Biosynthesis"
"7","FASYN.INITIAL.PWY","Genotype","HET",-2.02727111855923,0.463982113657615,67,60,4.83378561577052e-05,0.000956897649735172,"superpathway of fatty acid biosynthesis initiation (E. coli)","Super-Pathways"
"8","FASYN.INITIAL.PWY","Genotype","MUT",-1.02441092032821,0.500559882916449,67,60,0.0449500861134789,0.162403094158483,"superpathway of fatty acid biosynthesis initiation (E. coli)","Lipid-Biosynthesis"
"9","FASYN.INITIAL.PWY","Genotype","MUT",-1.02441092032821,0.500559882916449,67,60,0.0449500861134789,0.162403094158483,"superpathway of fatty acid biosynthesis initiation (E. coli)","Super-Pathways"
"10","FUC.RHAMCAT.PWY","Genotype","MUT",-0.61074360770663,0.206020401157316,67,67,0.00429835892806306,0.0304537325360807,"superpathway of fucose and rhamnose degradation","Super-Pathways"
"11","FUC.RHAMCAT.PWY","Genotype","HET",-0.525037565300534,0.190965725476479,67,67,0.00781281091434828,0.0462791641046641,"superpathway of fucose and rhamnose degradation","Super-Pathways"
"12","FUCCAT.PWY","Genotype","HET",-0.579983743023363,0.203212177601187,67,67,0.0058611125297637,0.0392188023596534,"fucose degradation","Carbohydrates-Degradation"
"13","HISDEG.PWY","Genotype","MUT",-0.766204715192012,0.252599418088737,67,67,0.00353044517270469,0.0269507223043091,"L-histidine degradation I","Amino-Acid-Degradation"
"14","METH.ACETATE.PWY","Genotype","MUT",-0.604762232841455,0.219765589927904,67,67,0.00776059851596241,0.0462791641046641,"methanogenesis from acetate","Respiration"
"15","METH.ACETATE.PWY","Genotype","HET",-0.691063954355737,0.203706502266746,67,67,0.00121123338793246,0.0123865754011206,"methanogenesis from acetate","Respiration"
"16","P164.PWY","Genotype","HET",-0.660278506585101,0.193264051892574,67,67,0.00112490950828677,0.0120216779862867,"purine nucleobases degradation I (anaerobic)","NUCLEO-DEG"
"17","P164.PWY","Genotype","HET",-0.660278506585101,0.193264051892574,67,67,0.00112490950828677,0.0120216779862867,"purine nucleobases degradation I (anaerobic)","Fermentation"
"18","P341.PWY","Genotype","HET",-0.570060960785113,0.274430205059913,67,67,0.0419273842649099,0.154589403208035,"glycolysis V (Pyrococcus)","GLYCOLYSIS-VARIANTS"
"19","POLYAMINSYN3.PWY","Genotype","MUT",-0.534520990568367,0.230994301445232,67,67,0.0239960497470976,0.105310598890096,"superpathway of polyamine biosynthesis II","Super-Pathways"
"20","POLYAMINSYN3.PWY","Genotype","MUT",-0.534520990568367,0.230994301445232,67,67,0.0239960497470976,0.105310598890096,"superpathway of polyamine biosynthesis II","Polyamine-Biosynthesis"
"21","POLYAMINSYN3.PWY","Genotype","HET",-0.556652729980601,0.214114690140505,67,67,0.0116447674889281,0.0628006366069553,"superpathway of polyamine biosynthesis II","Super-Pathways"
"22","POLYAMINSYN3.PWY","Genotype","HET",-0.556652729980601,0.214114690140505,67,67,0.0116447674889281,0.0628006366069553,"superpathway of polyamine biosynthesis II","Polyamine-Biosynthesis"
"23","PWY.1861","Genotype","HET",-0.667310261301457,0.209596613513726,67,67,0.00227418277543597,0.0200538590260411,"formaldehyde assimilation II (RuMP Cycle)","C1-COMPOUNDS"
"24","PWY.5304","Genotype","HET",-0.621490702813573,0.337002998934988,67,67,0.069937528323617,0.219591030316835,"superpathway of sulfur oxidation (Acidianus ambivalens)","Noncarbon-Nutrients"
"25","PWY.5304","Genotype","HET",-0.621490702813573,0.337002998934988,67,67,0.069937528323617,0.219591030316835,"superpathway of sulfur oxidation (Acidianus ambivalens)","Super-Pathways"
"26","PWY.5345","Genotype","MUT",-0.684979535464355,0.249515788312466,67,67,0.00790116780791798,0.0465481842596907,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","Amino-Acid-Biosynthesis"
"27","PWY.5345","Genotype","MUT",-0.684979535464355,0.249515788312466,67,67,0.00790116780791798,0.0465481842596907,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","Super-Pathways"
"28","PWY.5971","Genotype","MUT",-0.987465336130299,0.493791084811087,67,60,0.0499120824034959,0.169607201646989,"palmitate biosynthesis II (bacteria and plants)","Lipid-Biosynthesis"
"29","PWY.5971","Genotype","HET",-1.98853216366476,0.457707936762836,67,60,5.27005230828632e-05,0.000968260457997012,"palmitate biosynthesis II (bacteria and plants)","Lipid-Biosynthesis"
"30","PWY.5989","Genotype","HET",-2.02474779391914,0.463494512578283,67,60,4.84813248559315e-05,0.000956897649735172,"stearate biosynthesis II (bacteria and plants)","Lipid-Biosynthesis"
"31","PWY.5989","Genotype","MUT",-1.02261895513784,0.500033842079968,67,60,0.0450953241159625,0.162403094158483,"stearate biosynthesis II (bacteria and plants)","Lipid-Biosynthesis"
"32","PWY.6282","Genotype","MUT",-1.02044127998854,0.499819218181886,67,60,0.0454501585830207,0.163047315184132,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Lipid-Biosynthesis"
"33","PWY.6282","Genotype","HET",-2.02303911954462,0.463295572045347,67,60,4.87894674164503e-05,0.000956897649735172,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Lipid-Biosynthesis"
"34","PWY.6519","Genotype","HET",-1.97644350729792,0.453733962037452,67,60,5.06435125985269e-05,0.000963115222049179,"8-amino-7-oxononanoate biosynthesis I","Cofactor-Biosynthesis"
"35","PWY.6519","Genotype","MUT",-0.980864458985007,0.48950382402086,67,60,0.0494667250947828,0.168622421392279,"8-amino-7-oxononanoate biosynthesis I","Cofactor-Biosynthesis"
"36","PWY.6572","Genotype","MUT",-0.975990820080617,0.315568835525686,67,67,0.00297130245208214,0.0240495007219962,"chondroitin sulfate degradation I (bacterial)","Polymer-Degradation"
"37","PWY.6572","Genotype","MUT",-0.975990820080617,0.315568835525686,67,67,0.00297130245208214,0.0240495007219962,"chondroitin sulfate degradation I (bacterial)","Carbohydrates-Degradation"
"38","PWY.6572","Genotype","HET",-1.03971611301616,0.292509048984494,67,67,0.000731304753586736,0.00861667774878285,"chondroitin sulfate degradation I (bacterial)","Polymer-Degradation"
"39","PWY.6572","Genotype","HET",-1.03971611301616,0.292509048984494,67,67,0.000731304753586736,0.00861667774878285,"chondroitin sulfate degradation I (bacterial)","Carbohydrates-Degradation"
"40","PWY.6608","Genotype","HET",-0.611656887203452,0.192859585323886,67,67,0.00235830239668017,0.0202888872857247,"guanosine nucleotides degradation III","NUCLEO-DEG"
"41","PWY.6628","Genotype","HET",-0.751808271889998,0.334289611140204,67,67,0.0280766968387895,0.117424267344928,"superpathway of L-phenylalanine biosynthesis","Super-Pathways"
"42","PWY.6628","Genotype","HET",-0.751808271889998,0.334289611140204,67,67,0.0280766968387895,0.117424267344928,"superpathway of L-phenylalanine biosynthesis","Amino-Acid-Biosynthesis"
"43","PWY.6630","Genotype","HET",-0.751441610868574,0.331041853491447,67,67,0.0266992622240145,0.113054688479811,"superpathway of L-tyrosine biosynthesis","Super-Pathways"
"44","PWY.6630","Genotype","HET",-0.751441610868574,0.331041853491447,67,67,0.0266992622240145,0.113054688479811,"superpathway of L-tyrosine biosynthesis","Amino-Acid-Biosynthesis"
"45","PWY.6749","Genotype","MUT",-1.22578396421129,0.535385620095629,67,64,0.0254651025378051,0.110416684603923,"CMP-legionaminate biosynthesis I","Carbohydrates-Biosynthesis"
"46","PWY.6749","Genotype","HET",-1.87991236350126,0.496263004910695,67,64,0.000345486588532079,0.00474060078441485,"CMP-legionaminate biosynthesis I","Carbohydrates-Biosynthesis"
"47","PWY.7237","Genotype","MUT",-0.536431556734679,0.314060057993309,67,67,0.0926291533775468,0.267503423127739,"myo-, chiro- and scillo-inositol degradation","Super-Pathways"
"48","PWY.7237","Genotype","MUT",-0.536431556734679,0.314060057993309,67,67,0.0926291533775468,0.267503423127739,"myo-, chiro- and scillo-inositol degradation","SECONDARY-METABOLITE-DEGRADATION"
"49","PWY.7237","Genotype","HET",-0.907410108699905,0.291110523428605,67,67,0.00276803270203382,0.0229049423588142,"myo-, chiro- and scillo-inositol degradation","Super-Pathways"
"50","PWY.7237","Genotype","HET",-0.907410108699905,0.291110523428605,67,67,0.00276803270203382,0.0229049423588142,"myo-, chiro- and scillo-inositol degradation","SECONDARY-METABOLITE-DEGRADATION"
"51","PWY.7332","Genotype","HET",-0.67972754575885,0.331292278081275,67,65,0.0444240437631075,0.161596186037612,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Cell-Structure-Biosynthesis"
"52","PWY.7332","Genotype","HET",-0.67972754575885,0.331292278081275,67,65,0.0444240437631075,0.161596186037612,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Carbohydrates-Biosynthesis"
"53","PWY.7332","Genotype","HET",-0.67972754575885,0.331292278081275,67,65,0.0444240437631075,0.161596186037612,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Super-Pathways"
"54","PWY.7332","Genotype","MUT",-0.842990084559256,0.357409518699375,67,65,0.0215101332263541,0.097560604256769,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Cell-Structure-Biosynthesis"
"55","PWY.7332","Genotype","MUT",-0.842990084559256,0.357409518699375,67,65,0.0215101332263541,0.097560604256769,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Carbohydrates-Biosynthesis"
"56","PWY.7332","Genotype","MUT",-0.842990084559256,0.357409518699375,67,65,0.0215101332263541,0.097560604256769,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","Super-Pathways"
"57","PWY.7456","Genotype","MUT",-1.12723470622231,0.324883404708573,67,67,0.000953924207331361,0.0109628956146482,"mannan degradation","Carbohydrates-Degradation"
"58","PWY.7456","Genotype","MUT",-1.12723470622231,0.324883404708573,67,67,0.000953924207331361,0.0109628956146482,"mannan degradation","Polymer-Degradation"
"59","PWY.7456","Genotype","HET",-1.017076952216,0.301142968011535,67,67,0.00126854164485273,0.0128513938600034,"mannan degradation","Carbohydrates-Degradation"
"60","PWY.7456","Genotype","HET",-1.017076952216,0.301142968011535,67,67,0.00126854164485273,0.0128513938600034,"mannan degradation","Polymer-Degradation"
"61","PWY.7664","Genotype","HET",-2.01612873837517,0.462110305619984,67,60,4.94338269235882e-05,0.000956897649735172,"oleate biosynthesis IV (anaerobic)","Lipid-Biosynthesis"
"62","PWY.7664","Genotype","MUT",-1.01401542371458,0.498540511943779,67,60,0.0462392378808158,0.164108489988119,"oleate biosynthesis IV (anaerobic)","Lipid-Biosynthesis"
"63","PWY0.1061","Genotype","HET",-0.586108435533909,0.211328967359692,67,67,0.00731770478217349,0.0455884596774487,"superpathway of L-alanine biosynthesis","Amino-Acid-Biosynthesis"
"64","PWY0.1061","Genotype","HET",-0.586108435533909,0.211328967359692,67,67,0.00731770478217349,0.0455884596774487,"superpathway of L-alanine biosynthesis","Super-Pathways"
"65","PWY0.1061","Genotype","MUT",-0.841295092537203,0.22798896777405,67,67,0.000474741082238479,0.00606450554590868,"superpathway of L-alanine biosynthesis","Amino-Acid-Biosynthesis"
"66","PWY0.1061","Genotype","MUT",-0.841295092537203,0.22798896777405,67,67,0.000474741082238479,0.00606450554590868,"superpathway of L-alanine biosynthesis","Super-Pathways"
"67","PWY0.1261","Genotype","HET",-0.508703566165907,0.221118278279728,67,67,0.0247914057114795,0.108362434642112,"anhydromuropeptides recycling","SECONDARY-METABOLITE-DEGRADATION"
"68","PWY0.1415","Genotype","MUT",-1.03028278873398,0.409876648168636,67,66,0.0145609079514778,0.0734140661367531,"superpathway of heme biosynthesis from uroporphyrinogen-III","Super-Pathways"
"69","PWY0.1415","Genotype","MUT",-1.03028278873398,0.409876648168636,67,66,0.0145609079514778,0.0734140661367531,"superpathway of heme biosynthesis from uroporphyrinogen-III","Cofactor-Biosynthesis"
"70","PWY0.845","Genotype","MUT",-0.787951450876779,0.255707539941439,67,67,0.00307103045773194,0.0244779192366281,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Cofactor-Biosynthesis"
"71","PWY0.845","Genotype","MUT",-0.787951450876779,0.255707539941439,67,67,0.00307103045773194,0.0244779192366281,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Super-Pathways"
"72","PWY0.845","Genotype","HET",-0.533874008279776,0.237022040537797,67,67,0.0278456668705034,0.117424267344928,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Cofactor-Biosynthesis"
"73","PWY0.845","Genotype","HET",-0.533874008279776,0.237022040537797,67,67,0.0278456668705034,0.117424267344928,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Super-Pathways"
"74","PWY0.862","Genotype","MUT",-1.01812920950856,0.499396695241853,67,60,0.0457480444131171,0.163127895209931,"(5Z)-dodec-5-enoate biosynthesis","Lipid-Biosynthesis"
"75","PWY0.862","Genotype","HET",-2.02070535082197,0.462903924425399,67,60,4.90197523768773e-05,0.000956897649735172,"(5Z)-dodec-5-enoate biosynthesis","Lipid-Biosynthesis"
"76","PWYG.321","Genotype","MUT",-1.01574760894605,0.497817382534235,67,60,0.0455750336723173,0.163047315184132,"mycolate biosynthesis","Lipid-Biosynthesis"
"77","PWYG.321","Genotype","HET",-2.01348968476817,0.461440017961426,67,60,4.93271261816761e-05,0.000956897649735172,"mycolate biosynthesis","Lipid-Biosynthesis"
"78","PYRIDOXSYN.PWY","Genotype","MUT",-0.817098249676371,0.26420966677235,67,67,0.00297290876083717,0.0240495007219962,"pyridoxal 5'-phosphate biosynthesis I","Cofactor-Biosynthesis"
"79","PYRIDOXSYN.PWY","Genotype","HET",-0.570925990611447,0.244902885392178,67,67,0.0230069500789372,0.1026704706484,"pyridoxal 5'-phosphate biosynthesis I","Cofactor-Biosynthesis"
