Batch,MouseID,Day,Old_Object,New_Object,Total_Time,Discrimination_Index,Percent_Investigation_Time,Day_Treatment ,Treatment,Genotype,Sex
three,115,Testing,30,12.7,42.7,-0.4051522248,29.74238876,Testing_SALINE,SALINE,HET,Male 
three,115,Training,32.4,19.5,51.9,-0.2485549133,37.57225434,Training_SALINE,SALINE,HET,Male 
three,117,Testing,73.6,17.5,91.1,-0.6158068057,19.20965971,Testing_MPTP,MPTP,MUT,Male 
three,117,Training,34.2,18.3,52.5,-0.3028571429,34.85714286,Training_MPTP,MPTP,MUT,Male 
three,118,Testing,18.8,20.3,39.1,0.03836317136,51.91815857,Testing_SALINE,SALINE,HET,Male 
three,118,Training,44.2,29.4,73.6,-0.2010869565,39.94565217,Training_SALINE,SALINE,HET,Male 
three,119,Testing,42.7,19.3,62,-0.3774193548,31.12903226,Testing_MPTP,MPTP,WT,Female
three,119,Training,28.5,27.3,55.8,-0.02150537634,48.92473118,Training_MPTP,MPTP,WT,Female
three,121,Testing,9.7,10.4,20.1,0.03482587065,51.74129353,Testing_MPTP,MPTP,WT,Male 
three,121,Training,24.8,14.6,39.4,-0.2588832487,37.05583756,Training_MPTP,MPTP,WT,Male 
three,165,Testing,17.7,27,44.7,0.2080536913,60.40268456,Testing_MPTP,MPTP,HET,Male 
three,165,Training,270,150,420,-0.2857142857,35.71428571,Training_MPTP,MPTP,HET,Male 
three,167,Testing,10.7,17.2,27.9,0.2329749104,61.64874552,Testing_MPTP,MPTP,MUT,Male 
three,167,Training,21.1,12,33.1,-0.2749244713,36.25377644,Training_MPTP,MPTP,MUT,Male 
three,168,Testing,4.8,21.7,26.5,0.6377358491,81.88679245,Testing_MPTP,MPTP,HET,Male 
three,168,Training,14.1,47.7,61.8,0.5436893204,77.18446602,Training_MPTP,MPTP,HET,Male 
three,169,Testing,15.4,12.2,27.6,-0.115942029,44.20289855,Testing_MPTP,MPTP,HET,Male 
three,169,Training,18.3,21.3,39.6,0.07575757576,53.78787879,Training_MPTP,MPTP,HET,Male 
three,171,Testing,19.2,21.2,40.4,0.0495049505,52.47524752,Testing_MPTP,MPTP,HET,Female
three,171,Training,66.1,17.4,83.5,-0.5832335329,20.83832335,Training_MPTP,MPTP,HET,Female
three,172,Testing,15.2,47.6,62.8,0.5159235669,75.79617834,Testing_MPTP,MPTP,HET,Female
three,172,Training,16.5,24.9,41.4,0.2028985507,60.14492754,Training_MPTP,MPTP,HET,Female
