"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356","Genotype","MUT",2.24597651944521,0.696327524472126,71,42,0.00195775116627424,0.0171303227048996
"2","k__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__.g__","Genotype","HET",1.43437632315183,0.448433730818962,71,50,0.0021221017383737,0.0180057117195344
"3","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella","Genotype","MUT",-1.18736510418152,0.391993504015022,71,22,0.00349957801273248,0.0279966241018598
"4","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001","Genotype","HET",-2.40205851708165,0.819587657820828,71,51,0.00464016773468839,0.0351147828571013
"5","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006","Genotype","HET",1.12913713042836,0.392994624803626,71,69,0.00546107479906478,0.0402394985194247
"6","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella","Genotype","HET",-1.04757895817552,0.387677847705893,71,22,0.00874769822558057,0.0556671705264218
"7","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Genotype","MUT",-1.32862670488336,0.50819585747299,71,56,0.0110630684762479,0.0673404168119435
"8","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__","Genotype","HET",-1.1361097641654,0.443401051068176,71,68,0.0126890274653333,0.0755942061764538
"9","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__","Genotype","HET",1.09483312120692,0.43879100313951,71,39,0.0151008982885335,0.0829068925644978
"10","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__","Genotype","HET",1.29115815927134,0.530191409987846,71,32,0.0175903990142398,0.0929304098865498
"11","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001","Genotype","MUT",-1.98456199275108,0.828711363669097,71,51,0.0194784439202165,0.0991629872301929
"12","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575","Genotype","HET",-0.899523499190127,0.390407969498047,71,69,0.0243756083702088,0.121878041851044
"13","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group","Genotype","HET",-0.755711640822181,0.33537528623613,71,41,0.0275664969198769,0.133079640302854
"14","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1","Genotype","MUT",-1.93210530151512,0.905857812474756,71,46,0.0366561391962602,0.157903368845428
"15","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Genotype","HET",1.33267132609823,0.642852560515627,71,46,0.0420747961970387,0.175834969181654
"16","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Genotype","HET",0.476724484534107,0.233943817054502,71,71,0.0455844496305648,0.186004545695053
"17","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis","Genotype","HET",-0.886033518969096,0.436930174852954,71,60,0.0466147160889762,0.186458864355905
"18","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Genotype","HET",-1.00044766475864,0.502600870219088,71,56,0.0506751901839236,0.199845820443642
"19","k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus","Genotype","HET",0.651334048759479,0.334989455892954,71,69,0.0561182504794605,0.215248084030808
"20","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Genotype","HET",-1.10927518047375,0.568814757848831,71,45,0.0554074457049721,0.215248084030808
"21","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium","Genotype","HET",0.441388534454554,0.239154097025903,71,71,0.0694328376491307,0.245780067714834
"22","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__","Genotype","MUT",0.80807037545426,0.443675654589919,71,39,0.0730923961401763,0.247556779659821
"23","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.003","Genotype","HET",-0.430172016173239,0.237732982270061,71,11,0.0749309537549889,0.249769845849963
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Genotype","MUT",1.02765107161586,0.65000883917598,71,46,0.118663473973826,0.357266373254529
"25","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006","Genotype","MUT",0.564085970537195,0.397369467838956,71,69,0.160444703365649,0.431669882328429
"26","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Genotype","MUT",-0.769141980331135,0.575146842627373,71,45,0.185716493512081,0.456145773538445
"27","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.003","Genotype","MUT",-0.316166719594173,0.240379442084294,71,11,0.192966462024282,0.457598447624773
"28","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356","Genotype","HET",0.840010217701865,0.688661299793838,71,42,0.226891987125748,0.481286033297041
"29","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575","Genotype","MUT",-0.46580891749413,0.394754017709646,71,69,0.242236698729678,0.48914140706147
"30","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium","Genotype","MUT",0.266699809792209,0.24181637678677,71,71,0.274074995874583,0.522047611189683
"31","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Genotype","MUT",0.204664640067805,0.236548095622461,71,71,0.390055610935832,0.634974250360657
"32","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.sensu.stricto.1","Genotype","HET",-0.743347238849411,0.89588476204525,71,46,0.409679560759869,0.64443975849867
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__.g__","Genotype","MUT",0.307713107487675,0.453425725773245,71,50,0.499738374166171,0.717573050084759
"34","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__","Genotype","MUT",-0.273612605453947,0.448337021887351,71,68,0.543769899238441,0.738856205270582
"35","k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus","Genotype","MUT",0.176423251387224,0.338718581421717,71,69,0.604210973375555,0.776050791491539
"36","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__.g__","Genotype","MUT",0.274654372187803,0.536093537017028,71,32,0.610133520300692,0.780079386685816
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group","Genotype","MUT",-0.0841099340575279,0.339108706854656,71,41,0.804879448874528,0.898344308363592
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis","Genotype","MUT",-0.102004761175969,0.441794111435639,71,60,0.81811640318932,0.905425268351817
