"PFF_Baseline_11"	"PFF_Baseline_12"	"PFF_Baseline_13"	"PFF_Baseline_14"	"PFF_Baseline_15"	"PFF_Baseline_16"	"PFF_Baseline_17"	"PFF_Baseline_18"	"PFF_Baseline_19"	"PFF_Baseline_1921"	"PFF_Baseline_1937"	"PFF_Baseline_1942"	"PFF_Baseline_1943"	"PFF_Baseline_1944"	"PFF_Baseline_1946"	"PFF_Baseline_25"	"PFF_Baseline_26"	"PFF_Baseline_27"	"PFF_Baseline_28"	"PFF_Baseline_30"	"PFF_Baseline_32"	"PFF_Baseline_35"	"PFF_Baseline_36"	"PFF_Baseline_37"
"k__Bacteria;p__;c__;o__;f__;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	0	0	0	6	0	0	21	0	153	0	69	30	287	26	0	7	0	8	0	0	11	0	76	185
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002"	71	146	228	195	27	153	66	306	295	0	656	134	0	113	0	79	54	0	39	7	607	0	190	222
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis;g__"	8	13	7	17	14	3	0	11	8	0	20	0	0	0	7	0	8	0	0	9	9	6	0	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus"	53	49	50	34	32	30	44	40	31	23	94	29	20	57	64	47	43	43	100	44	67	40	16	35
