"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus","Genotype","HET",1.89910213875807,0.451893914015745,65,59,8.90807127767406e-05,0.00624600737845836
"2","k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Genotype","MUT",3.70585619443431,0.900809117011251,65,51,0.000120329519718255,0.00644966225689845
"3","k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002","Genotype","HET",1.80097453435938,0.458618948991346,65,61,0.000224658057073399,0.00942976959159298
"4","k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__","Genotype","HET",-1.91101746189212,0.537903603549467,65,30,0.000749752683058479,0.0200933719059672
"5","k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus","Genotype","MUT",1.60671595174487,0.489022449522589,65,59,0.00170261410440778,0.035100044613945
"6","k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__","Genotype","MUT",-1.799446980945,0.582098872448242,65,30,0.00302099851984579,0.052647165505951
"7","k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter","Genotype","HET",-0.944061961755394,0.340218246531144,65,49,0.0073519229889679,0.0938245410020666
"8","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Genotype","HET",-0.666882894187029,0.255794777089528,65,65,0.0115034025549282,0.102763729490692
"9","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Genotype","HET",1.12088476524879,0.428496255808584,65,64,0.0112425407186935,0.102763729490692
"10","k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus","Genotype","MUT",-1.24215803550974,0.46906380458141,65,29,0.0103258797474304,0.102763729490692
"11","k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Genotype","HET",-1.12194697001554,0.438294842084127,65,59,0.0130103573158849,0.112476637440554
"12","k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia","Genotype","HET",-1.46597992741173,0.581358924365322,65,57,0.0143540052923963,0.119259571815324
"13","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea","Genotype","MUT",1.02599892888657,0.411695930161947,65,22,0.0154781069434895,0.119259571815324
"14","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2","Genotype","HET",-1.07427559095225,0.466489621366541,65,64,0.024768173191519,0.150828817843567
"15","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides","Genotype","MUT",-1.21268317553213,0.554954700050345,65,58,0.0327903759089405,0.183421566084564
"16","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Extibacter","Genotype","HET",-1.07305857896345,0.507424617512408,65,51,0.0386171678353209,0.195271716601245
"17","k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002","Genotype","MUT",1.02291249889184,0.49630002723473,65,61,0.0436375140095113,0.205608469285798
"18","k__Bacteria.p__Bacillota.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus","Genotype","HET",-0.59389797852112,0.287720508771873,65,11,0.0433354190722564,0.205608469285798
"19","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Genotype","MUT",-0.562993924762725,0.27681140326897,65,65,0.0463950995457892,0.214377356521923
"20","k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter","Genotype","MUT",-0.728805683972147,0.368171278989925,65,49,0.0523497532491384,0.237792099504561
"21","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004","Genotype","MUT",-0.838691912809383,0.429201182755469,65,22,0.0553579006981753,0.24707542822713
"22","k__Bacteria.p__Bacillota.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001","Genotype","HET",-0.759860363524857,0.393295535483153,65,27,0.0580811640981687,0.24707542822713
"23","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2","Genotype","MUT",-0.87999888368275,0.504817370276827,65,64,0.0864208573649634,0.31298364559203
"24","k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia","Genotype","MUT",-1.00588415843092,0.629124572000856,65,57,0.115104293318424,0.367237507254019
"25","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004","Genotype","HET",-0.615759747442866,0.396614516501041,65,22,0.12579241088323,0.383225975808312
"26","k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Genotype","HET",1.20740334722545,0.832416094730796,65,51,0.152132488059448,0.411833402019516
"27","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Extibacter","Genotype","MUT",-0.789476286483706,0.549115670089186,65,51,0.155707888262383,0.416643851289095
"28","k__Bacteria.p__Bacillota.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__Peptococcus","Genotype","MUT",-0.436795135982753,0.311360218877842,65,11,0.165811854035042,0.422465609461969
"29","k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Genotype","MUT",-0.56607398375994,0.474306049808027,65,59,0.237379836318447,0.517838465997875
"30","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides","Genotype","HET",-0.555644523288215,0.512820325021909,65,58,0.282918320439232,0.553446057501563
"31","k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus","Genotype","HET",-0.396306022576985,0.433450609031025,65,29,0.364216396757528,0.621719709114761
"32","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea","Genotype","HET",0.237117095874617,0.380438332528212,65,22,0.53546702700805,0.775703585071121
"33","k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Genotype","MUT",0.264992558299997,0.46370239148534,65,64,0.569814927298841,0.793300811640609
"34","k__Bacteria.p__Bacillota.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001","Genotype","MUT",-0.106870220919247,0.425609507415425,65,27,0.80259535420041,0.907431217459766
