feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz	16283	11474	383	67	70	300	0
Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz	9449	3989	112	7	16	0	0
Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz	7641	10474	34	4	79	27	0
Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz	8038	6234	123	0	24	36	0
Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz	5558	4895	4	2	35	23	0
Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz	8783	9025	41	9	95	154	4
Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz	7784	7198	129	7	90	103	0
Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz	14271	3424	102	0	34	36	91
Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz	8754	6394	18	11	57	55	18
Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz	15275	12108	251	15	255	164	76
Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz	7355	6216	151	112	123	76	0
Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz	12962	8822	118	117	251	471	0
Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz	3963	2792	101	25	9	46	0
Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz	8115	10290	227	112	84	68	16
Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz	5081	10800	19	305	93	62	0
Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz	7130	12400	460	531	21	57	0
Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz	4847	7081	55	800	64	93	0
Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz	10714	2988	62	0	41	5	8
Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz	5941	9014	70	8	287	56	4
Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz	4787	8141	30	10	259	59	0
Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz	9153	6194	137	5	33	147	10
Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz	7623	3416	264	0	27	109	6
Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz	4375	4087	8	19	56	103	0
Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz	4841	6388	67	69	37	187	0
Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz	5652	5164	23	674	31	43	0
Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz	5112	2716	45	0	27	0	0
Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz	12059	2886	103	0	28	10	0
Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz	6651	4593	24	8	59	13	0
Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz	7408	4063	85	834	23	63	0
Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz	9279	7128	49	6	36	20	0
Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz	6071	4541	22	0	18	0	0
Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz	6826	7367	29	0	119	420	3
Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz	7427	3717	64	2	14	17	0
Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz	6584	7968	255	0	59	52	7
Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz	7352	6462	115	7	52	56	6
Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz	7307	7121	176	7	63	56	0
Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz	8357	8318	203	4	135	85	0
Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz	9244	9142	222	62	129	356	0
