feature	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Thermodesulfobacteriota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiia.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Turicimonas	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Limosilactobacillus	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Mycobacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Bacillota.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Bacillota.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Butyribacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Bacillota.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Jeotgalicoccus	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Faecalimonas	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	k__Bacteria.p__Thermodesulfobacteriota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia	k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Massiliomicrobiota	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Aerococcus	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Culicoidibacter	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__
Julianne.331.JEJ_S219_L001_R1_001_F_filt.fastq.gz	899	7400	2978	7548	546	2274	1002	34	0	294	15	150	103	154	0	296	0	0	0	0	20	0	0	226	0	5	0	222	0	38	0	0	0	0	11	0	0	0	0	171	0	0	6	0	0	0	0	40	11
Julianne.536.JEJ_S211_L001_R1_001_F_filt.fastq.gz	4018	0	233	346	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	79	2643	2232	0	0	0	0	0	0	0	0	0	75	1028	0	0	0	0	0	0	0	0	0	86	0	0	38	0	0
Julianne.547.JEJ_S206_L001_R1_001_F_filt.fastq.gz	1276	2417	5237	5975	1075	9	256	0	0	59	0	58	13	10	0	0	0	0	0	0	129	0	54	7	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	21	0	0
Julianne.579.JEJ_S207_L001_R1_001_F_filt.fastq.gz	10840	1812	555	1262	452	118	35	24	68	59	5	160	115	278	30	19	51	86	0	85	0	120	52	10	28	67	0	10	0	45	0	29	7	80	18	0	9	6	7	3	0	0	4	24	15	0	0	0	0
Julianne.604.JEJ_S208_L001_R1_001_F_filt.fastq.gz	1380	6159	1431	5397	1394	211	810	72	170	320	6	41	87	236	27	144	34	153	0	74	62	0	0	201	13	43	9	13	7	26	15	4	0	0	0	13	15	0	4	14	0	24	3	0	0	0	0	7	0
Julianne.719.JEJ_S218_L001_R1_001_F_filt.fastq.gz	2766	4326	802	1189	0	44	181	28	91	196	9	0	44	105	26	10	0	37	0	14	10	0	0	7	7	29	4	3	0	23	0	0	0	0	14	0	0	8	0	0	7	0	0	0	0	0	0	0	0
Julianne.856.JEJ_S200_L001_R1_001_F_filt.fastq.gz	6669	5772	6593	5139	0	35	474	0	56	171	5	13	224	5	5	150	0	0	0	0	162	0	0	30	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	59	0	0	0	0	0	0	0	4	12
Julianne.891.JEJ_S193_L001_R1_001_F_filt.fastq.gz	1863	5821	4858	9873	0	56	125	17	0	340	5	33	40	34	0	308	12	23	2111	0	319	0	5	64	0	0	0	30	0	0	0	0	15	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3
Rep1.Julianne.337.JEJ_S134_L001_R1_001_F_filt.fastq.gz	8198	2681	1905	865	1011	80	25	139	141	103	6	171	0	250	61	23	34	18	724	31	214	33	532	4	23	58	0	0	22	78	28	0	190	100	12	18	6	22	5	0	9	5	0	387	26	36	8	0	0
Rep1.Julianne.351.JEJ_S150_L001_R1_001_F_filt.fastq.gz	4771	8160	3777	1190	0	24	704	23	37	322	4	173	87	182	40	52	20	25	0	20	0	0	0	25	7	0	8	13	8	40	22	13	3	0	22	2	4	0	4	46	9	0	0	0	0	48	0	0	7
Rep1.Julianne.544.JEJ_S178_L001_R1_001_F_filt.fastq.gz	4491	2918	1780	1188	256	140	440	0	0	213	0	22	17	7	0	22	0	0	0	0	187	0	0	180	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Rep1.Julianne.582.JEJ_S142_L001_R1_001_F_filt.fastq.gz	1337	1746	4914	4382	455	1717	89	0	33	300	0	0	0	0	0	106	0	0	0	0	0	1636	851	124	0	0	0	64	0	0	0	0	1018	1056	0	0	0	0	0	28	0	0	0	144	0	36	0	0	0
Rep1.Julianne.716.JEJ_S110_L001_R1_001_F_filt.fastq.gz	768	5545	2242	4836	0	531	534	0	0	277	48	203	50	24	0	148	0	0	0	0	0	0	0	103	0	0	0	19	0	11	0	0	0	0	12	0	0	0	0	58	0	0	0	0	0	60	0	11	6
Rep1.Julianne.872.JEJ_S101_L001_R1_001_F_filt.fastq.gz	2472	29	8624	10192	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	8	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
Julianne.542.JEJ_S205_L001_R1_001_F_filt.fastq.gz	3252	1160	10098	5962	47	6	31	0	0	104	0	0	0	4	0	24	0	0	0	0	87	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Julianne.661.JEJ_S212_L001_R1_001_F_filt.fastq.gz	1994	4109	2793	6645	76	503	361	0	9	327	0	119	85	42	0	0	0	0	0	0	0	0	0	737	0	0	0	1419	0	0	0	0	0	0	0	0	0	0	0	61	0	5	0	0	0	0	0	20	0
Julianne.665.JEJ_S210_L001_R1_001_F_filt.fastq.gz	19874	312	788	1675	168	274	0	14	0	71	0	0	0	10	0	10	0	0	0	0	1383	48	191	28	0	0	6	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Julianne.667.JEJ_S209_L001_R1_001_F_filt.fastq.gz	1676	5775	1835	9231	16	73	220	0	0	223	5	192	42	25	0	26	0	0	137	0	19	0	0	14	0	0	0	13	0	4	0	0	0	0	9	0	0	0	0	146	0	0	0	0	0	0	0	9	8
Julianne.835.JEJ_S198_L001_R1_001_F_filt.fastq.gz	982	4464	3323	3489	288	8	381	0	0	415	0	0	40	2	0	68	0	0	0	0	79	0	57	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Julianne.882.JEJ_S199_L001_R1_001_F_filt.fastq.gz	20100	177	243	419	178	124	6	0	0	18	0	0	0	0	0	4	0	0	0	0	1963	3	184	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
