feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz	-1.25677438922198	-0.801795244767985	-9.068857292967	-12.1563201342173	-7.85253938604023	-9.40143263205387	-14.408550887516
Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz	-0.920085491370508	-1.10334246608001	-11.3604356105711	-12.3604356105711	-8.2311525936261	-8.83687365451406	-14.408550887516
Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz	-1.044080498117	-1.00486736987198	-8.7870265819158	-10.9746535850916	-7.57472297820293	-6.87779204583898	-12.1445785865339
Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz	-0.975984896732547	-1.08890050458893	-6.8910536360904	-11.0949259694561	-7.41042779518398	-7.21578036433044	-14.408550887516
Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz	-0.806177269435694	-1.25940090929422	-9.73197893663243	-10.4424723194374	-8.06901392391	-8.12054422455008	-9.73197893663243
Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz	-0.811007356719894	-1.36611803034616	-7.59036502607653	-7.60264335585497	-6.5014645214876	-5.59342482582559	-14.408550887516
Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz	-1.6869883790314	-0.599141435890918	-9.74995761438553	-5.74521969537886	-7.45872631672108	-8.04368881744224	-14.408550887516
Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz	-1.41667362971347	-0.869812595812725	-7.87819028335521	-4.01569380710515	-7.65954999687987	-7.12039118577184	-14.408550887516
Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz	-0.367051615794362	-2.20929676372476	-7.80006488612713	-13.3604356105711	-8.39670919189592	-11.4323331016266	-10.754261196514
Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz	-1.47271310835895	-0.706628895547891	-8.79072860347019	-10.3756911041914	-5.68081091139216	-7.81497614971687	-14.408550887516
Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz	-0.983083506127597	-1.08132427971399	-10.0781508077346	-8.83022329429106	-7.27079588567705	-6.39165028055143	-14.408550887516
Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz	-1.25937908409223	-0.859319865541855	-7.43437927249532	-7.39194400617492	-8.29101509732414	-5.95357400306545	-14.408550887516
Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz	-1.03567371450999	-1.16594617953674	-8.97665750878691	-4.10361468366207	-8.54602315445705	-8.07395471014183	-14.408550887516
Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz	-0.770794879685896	-1.30492936705341	-8.8851879345532	-10.4701504352744	-7.58750738591252	-9.76971071713327	-14.408550887516
Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz	-0.81111825535986	-1.23004239178628	-8.91940509457332	-13.3604356105711	-9.2089117117683	-12.4323331016266	-14.408550887516
Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz	-1.11297132314674	-1.0029344949589	-8.99181502711804	-13.3604356105711	-6.95497825893766	-5.13555050457949	-12.2648335215245
Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz	-0.934361458706616	-1.12051747473029	-6.93279245905128	-10.970927587938	-8.07784279185456	-7.97092758793805	-11.1933200092745
Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz	-1.03310801053245	-1.03985646140951	-6.39654151387069	-12.0618774310559	-6.98506183400504	-7.65248649491816	-14.408550887516
Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz	-1.19153933018895	-0.91380771023981	-7.42744949533477	-7.61116144850716	-7.39642259971415	-6.10552140044741	-14.408550887516
Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz	-0.881868438269303	-1.15421300277585	-8.51069181308655	-10.5463157228173	-8.19581847573314	-9.69831881626232	-14.408550887516
Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz	-1.38749903462432	-0.755879321709586	-7.64985493039617	-7.51599918366138	-6.36856882000615	-8.36034831320118	-14.408550887516
Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz	-1.16855464770861	-0.903897394009023	-6.75510864891205	-9.56724863353503	-8.72672684754223	-7.02772910357504	-13.408550887516
Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz	-1.28471810194807	-0.789904241939985	-9.58621429693062	-9.58621429693062	-8.4162892954883	-7.47073707951068	-14.408550887516
Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz	-0.672794293100293	-1.49614082586356	-6.30162090030073	-10.761052518938	-7.99551777257505	-9.91305561238307	-14.408550887516
Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz	-1.13365222663929	-1.17441509555088	-3.54502770393209	-8.91501194016395	-7.80311906009305	-6.80311906009305	-14.408550887516
Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz	-1.21023782381497	-0.935866231378668	-9.02877435289003	-5.12188375728152	-7.2876926502516	-6.95838502499864	-14.408550887516
Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz	-0.550125478843379	-1.72107194774381	-7.72914137771969	-11.4295810958608	-8.25965609441847	-7.53881016561554	-14.408550887516
Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz	-1.17150822004705	-0.89223917932839	-6.64372008004861	-13.3604356105711	-7.68514000742859	-8.81705168293417	-12.3716405346118
Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz	-0.955117726195812	-1.10394952843218	-8.49573013444534	-13.3604356105711	-6.65024008350097	-7.32580513300303	-14.408550887516
Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz	-1.00480987864232	-1.0438773440172	-7.37851162325373	-13.3604356105711	-8.31341659503184	-7.06102943339756	-14.408550887516
Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz	-1.14019253357003	-0.918915302271835	-8.05767937222769	-10.2986874717315	-6.96370322401867	-7.69202989991101	-14.408550887516
Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz	-1.25231398874181	-0.820580717227253	-8.40700862695291	-10.5946356301287	-7.35516969543329	-8.03664017700779	-10.9572057095134
